TotalSpectrum-x_point	TotalSpectrum-y_point	TotalSpectrum-x_line	TotalSpectrum-y_line	Subspectrum2-x_line	Subspectrum2-y_line
-0.457523	36097	-0.457523	36230.8	-0.457523	36230.8
-0.449817	36126	-0.449817	36080.7	-0.449817	36080.7
-0.442095	35966	-0.442095	35930.8	-0.442095	35930.8
-0.434356	35992	-0.434356	35783.3	-0.434356	35783.3
-0.426601	35811	-0.426601	35640.8	-0.426601	35640.8
-0.41883	35801	-0.41883	35505.7	-0.41883	35505.7
-0.411043	35321	-0.411043	35380.5	-0.411043	35380.5
-0.40324	35349	-0.40324	35267.5	-0.40324	35267.5
-0.395422	35036	-0.395422	35168.3	-0.395422	35168.3
-0.38759	35028	-0.38759	35084.5	-0.38759	35084.5
-0.379743	35046	-0.379743	35016.9	-0.379743	35016.9
-0.371881	35077	-0.371881	34966.2	-0.371881	34966.2
-0.364006	34564	-0.364006	34932.5	-0.364006	34932.5
-0.356116	35084	-0.356116	34915.8	-0.356116	34915.8
-0.348214	35100	-0.348214	34915.8	-0.348214	34915.8
-0.340298	34804	-0.340298	34932	-0.340298	34932
-0.33237	34591	-0.33237	34963.3	-0.33237	34963.3
-0.324429	35246	-0.324429	35008.5	-0.324429	35008.5
-0.316475	34990	-0.316475	35065.8	-0.316475	35065.8
-0.30851	35259	-0.30851	35132.9	-0.30851	35132.9
-0.300533	35541	-0.300533	35207.3	-0.300533	35207.3
-0.292545	35435	-0.292545	35285.9	-0.292545	35285.9
-0.284546	35311	-0.284546	35365.8	-0.284546	35365.8
-0.276536	35779	-0.276536	35443.9	-0.276536	35443.9
-0.268516	35705	-0.268516	35517.4	-0.268516	35517.4
-0.260486	35757	-0.260486	35583.8	-0.260486	35583.8
-0.252446	35849	-0.252446	35640.8	-0.252446	35640.8
-0.244396	35343	-0.244396	35686.6	-0.244396	35686.6
-0.236337	36009	-0.236337	35719.7	-0.236337	35719.7
-0.228269	35520	-0.228269	35739.2	-0.228269	35739.2
-0.220193	35681	-0.220193	35744.1	-0.220193	35744.1
-0.212108	35639	-0.212108	35734.2	-0.212108	35734.2
-0.204016	35715	-0.204016	35709.1	-0.204016	35709.1
-0.195915	35721	-0.195915	35669	-0.195915	35669
-0.187808	35567	-0.187808	35614.5	-0.187808	35614.5
-0.179693	35401	-0.179693	35546.4	-0.179693	35546.4
-0.171571	35475	-0.171571	35466	-0.171571	35466
-0.163443	35297	-0.163443	35375.2	-0.163443	35375.2
-0.155309	35223	-0.155309	35276.4	-0.155309	35276.4
-0.147169	35126	-0.147169	35172.6	-0.147169	35172.6
-0.139024	34834	-0.139024	35067.6	-0.139024	35067.6
-0.130873	35034	-0.130873	34965.6	-0.130873	34965.6
-0.122717	34694	-0.122717	34871.3	-0.122717	34871.3
-0.114557	34822	-0.114557	34789.5	-0.114557	34789.5
-0.106392	34546	-0.106392	34725.1	-0.106392	34725.1
-0.098224	34540	-0.098224	34682.4	-0.098224	34682.4
-0.090052	34710	-0.090052	34664.9	-0.090052	34664.9
-0.081876	34634	-0.081876	34675.3	-0.081876	34675.3
-0.073697	34650	-0.073697	34714.8	-0.073697	34714.8
-0.065515	35065	-0.065515	34783	-0.065515	34783
-0.057331	34833	-0.057331	34878.6	-0.057331	34878.6
-0.049145	34840	-0.049145	34998.8	-0.049145	34998.8
-0.040957	35449	-0.040957	35139.7	-0.040957	35139.7
-0.032768	35291	-0.032768	35297.3	-0.032768	35297.3
-0.024577	35294	-0.024577	35466.8	-0.024577	35466.8
-0.016385	35677	-0.016385	35643.9	-0.016385	35643.9
-0.008193	35716	-0.008193	35824.5	-0.008193	35824.5
0	35585	0	36004.9	0	36004.9
0.008193	35957	0.008193	36182.4	0.008193	36182.4
0.016385	36564	0.016385	36354.5	0.016385	36354.5
0.024577	36412	0.024577	36519.7	0.024577	36519.7
0.032768	36567	0.032768	36676.8	0.032768	36676.8
0.040957	37012	0.040957	36825.1	0.040957	36825.1
0.049145	37222	0.049145	36964.5	0.049145	36964.5
0.057331	37125	0.057331	37094.8	0.057331	37094.8
0.065515	37068	0.065515	37216.3	0.065515	37216.3
0.073697	36943	0.073697	37329.2	0.073697	37329.2
0.081876	37561	0.081876	37434.1	0.081876	37434.1
0.090052	37629	0.090052	37531.3	0.090052	37531.3
