TotalSpectrum-x_point	TotalSpectrum-y_point	TotalSpectrum-x_line	TotalSpectrum-y_line	Subspectrum2-x_line	Subspectrum2-y_line	Subspectrum3-x_line	Subspectrum3-y_line
-11.1318	147412	-11.1318	148355	-11.1318	148379	-11.1318	148393
-11.0901	148497	-11.0901	148354	-11.0901	148378	-11.0901	148393
-11.048	148956	-11.048	148352	-11.048	148378	-11.048	148392
-11.0054	147557	-11.0054	148351	-11.0054	148377	-11.0054	148392
-10.9624	147568	-10.9624	148350	-10.9624	148376	-10.9624	148391
-10.9191	148861	-10.9191	148349	-10.9191	148376	-10.9191	148391
-10.8753	148899	-10.8753	148347	-10.8753	148375	-10.8753	148390
-10.8311	147808	-10.8311	148346	-10.8311	148374	-10.8311	148389
-10.7864	147887	-10.7864	148344	-10.7864	148373	-10.7864	148389
-10.7414	148698	-10.7414	148343	-10.7414	148372	-10.7414	148388
-10.696	148203	-10.696	148341	-10.696	148371	-10.696	148387
-10.6502	148054	-10.6502	148339	-10.6502	148371	-10.6502	148386
-10.604	148977	-10.604	148338	-10.604	148370	-10.604	148385
-10.5573	148710	-10.5573	148336	-10.5573	148369	-10.5573	148385
-10.5103	147787	-10.5103	148334	-10.5103	148368	-10.5103	148384
-10.4629	148708	-10.4629	148332	-10.4629	148366	-10.4629	148383
-10.4151	148405	-10.4151	148330	-10.4151	148365	-10.4151	148382
-10.3669	148466	-10.3669	148327	-10.3669	148364	-10.3669	148381
-10.3183	148295	-10.3183	148325	-10.3183	148363	-10.3183	148379
-10.2693	148176	-10.2693	148322	-10.2693	148362	-10.2693	148378
-10.2199	147967	-10.2199	148320	-10.2199	148360	-10.2199	148377
-10.1702	148541	-10.1702	148317	-10.1702	148359	-10.1702	148375
-10.1201	148341	-10.1201	148314	-10.1201	148357	-10.1201	148374
-10.0695	148483	-10.0695	148311	-10.0695	148356	-10.0695	148372
-10.0186	147971	-10.0186	148307	-10.0186	148354	-10.0186	148371
-9.96738	148447	-9.96738	148304	-9.96738	148352	-9.96738	148369
-9.91573	147977	-9.91573	148300	-9.91573	148350	-9.91573	148367
-9.8637	148350	-9.8637	148296	-9.8637	148348	-9.8637	148365
-9.81131	148147	-9.81131	148291	-9.81131	148346	-9.81131	148362
-9.75855	148087	-9.75855	148287	-9.75855	148344	-9.75855	148360
-9.70542	148304	-9.70542	148282	-9.70542	148342	-9.70542	148357
-9.65193	148352	-9.65193	148276	-9.65193	148340	-9.65193	148354
-9.59807	148110	-9.59807	148271	-9.59807	148337	-9.59807	148351
-9.54385	148726	-9.54385	148264	-9.54385	148334	-9.54385	148348
-9.48927	147627	-9.48927	148258	-9.48927	148331	-9.48927	148344
-9.43433	148100	-9.43433	148250	-9.43433	148328	-9.43433	148340
-9.37904	148776	-9.37904	148243	-9.37904	148325	-9.37904	148335
-9.3234	147803	-9.3234	148234	-9.3234	148321	-9.3234	148330
-9.2674	147777	-9.2674	148225	-9.2674	148317	-9.2674	148325
-9.21106	148119	-9.21106	148214	-9.21106	148313	-9.21106	148318
-9.15436	148111	-9.15436	148203	-9.15436	148309	-9.15436	148311
-9.09733	148545	-9.09733	148190	-9.09733	148304	-9.09733	148304
-9.03995	148563	-9.03995	148176	-9.03995	148299	-9.03995	148295
-8.98223	148531	-8.98223	148161	-8.98223	148294	-8.98223	148285
-8.92417	147789	-8.92417	148143	-8.92417	148288	-8.92417	148273
-8.86578	148586	-8.86578	148124	-8.86578	148281	-8.86578	148260
-8.80705	148379	-8.80705	148101	-8.80705	148274	-8.80705	148245
-8.748	148324	-8.748	148076	-8.748	148266	-8.748	148227
-8.68861	147975	-8.68861	148047	-8.68861	148258	-8.68861	148206
-8.62889	147809	-8.62889	148012	-8.62889	148249	-8.62889	148181
-8.56885	147323	-8.56885	147972	-8.56885	148238	-8.56885	148152
-8.50849	147524	-8.50849	147925	-8.50849	148227	-8.50849	148115
-8.44781	148146	-8.44781	147868	-8.44781	148214	-8.44781	148071
-8.38681	147800	-8.38681	147798	-8.38681	148200	-8.38681	148015
-8.32549	148034	-8.32549	147711	-8.32549	148184	-8.32549	147944
-8.26386	147542	-8.26386	147601	-8.26386	148167	-8.26386	147852
-8.20192	147594	-8.20192	147459	-8.20192	148147	-8.20192	147729
-8.13967	147091	-8.13967	147269	-8.13967	148124	-8.13967	147562
-8.07711	146562	-8.07711	147007	-8.07711	148098	-8.07711	147327
-8.01425	145904	-8.01425	146633	-8.01425	148067	-8.01425	146983
-7.95109	145310	-7.95109	146077	-7.95109	148032	-7.95109	146462
-7.88763	143769	-7.88763	145216	-7.88763	147991	-7.88763	145642
-7.82387	143039	-7.82387	143860	-7.82387	147943	-7.82387	144334
-7.75982	140072	-7.75982	141866	-7.75982	147885	-7.75982	142399
-7.69547	138564	-7.69547	139800	-7.69547	147816	-7.69547	140402
-7.63084	137897	-7.63084	139495	-7.63084	147731	-7.63084	140182
-7.56592	139154	-7.56592	141241	-7.56592	147625	-7.56592	142033
-7.50071	142098	-7.50071	143158	-7.50071	147493	-7.50071	144083
-7.43522	143889	-7.43522	144414	-7.43522	147323	-7.43522	145509
-7.36945	144632	-7.36945	145083	-7.36945	147100	-7.36945	146400
-7.3034	145972	-7.3034	145345	-7.3034	146802	-7.3034	146960
-7.23708	145384	-7.23708	145299	-7.23708	146392	-7.23708	147324
-7.17049	144442	-7.17049	144962	-7.17049	145810	-7.17049	147570
-7.10362	144493	-7.10362	144280	-7.10362	144956	-7.10362	147741
-7.03649	142632	-7.03649	143111	-7.03649	143663	-7.03649	147866
-6.96909	140915	-6.96909	141216	-6.96909	141675	-6.96909	147958
-6.90143	138672	-6.90143	138343	-6.90143	138732	-6.90143	148028
-6.83352	135635	-6.83352	134837	-6.83352	135172	-6.83352	148082
-6.76534	134546	-6.76534	132827	-6.76534	133119	-6.76534	148125
-6.69691	136378	-6.69691	134479	-6.69691	134737	-6.69691	148159
-6.62822	137781	-6.62822	138068	-6.62822	138299	-6.62822	148186
-6.55929	140282	-6.55929	141196	-6.55929	141405	-6.55929	148209
-6.49011	142881	-6.49011	143332	-6.49011	143523	-6.49011	148227
-6.42069	144597	-6.42069	144716	-6.42069	144892	-6.42069	148242
-6.35102	145235	-6.35102	145624	-6.35102	145787	-6.35102	148254
-6.28112	145857	-6.28112	146237	-6.28112	146390	-6.28112	148264
-6.21098	146406	-6.21098	146664	-6.21098	146809	-6.21098	148272
-6.1406	147306	-6.1406	146971	-6.1406	147110	-6.1406	148279
-6.07	147519	-6.07	147197	-6.07	147331	-6.07	148284
-5.99916	147352	-5.99916	147367	-5.99916	147498	-5.99916	148287
-5.9281	147150	-5.9281	147498	-5.9281	147625	-5.9281	148290
-5.85682	147105	-5.85682	147598	-5.85682	147725	-5.85682	148291
-5.78531	147962	-5.78531	147676	-5.78531	147803	-5.78531	148291
-5.71359	147777	-5.71359	147737	-5.71359	147866	-5.71359	148289
-5.64165	148027	-5.64165	147784	-5.64165	147915	-5.64165	148287
-5.5695	147284	-5.5695	147820	-5.5695	147955	-5.5695	148282
-5.49714	147278	-5.49714	147846	-5.49714	147987	-5.49714	148276
-5.42458	147833	-5.42458	147862	-5.42458	148012	-5.42458	148268
-5.35181	147171	-5.35181	147871	-5.35181	148031	-5.35181	148257
-5.27883	147042	-5.27883	147871	-5.27883	148045	-5.27883	148244
-5.20566	148283	-5.20566	147862	-5.20566	148054	-5.20566	148225
-5.1323	147152	-5.1323	147843	-5.1323	148059	-5.1323	148202
