Original file:
C:\Users\Kryolabor\Desktop\131124Joekob\stahl.txt
Date / time: 13.11.2024, 10:58:30
Sample: Edelstahlfolie
Comments: Stainlesssteel 20.2 mV
Channel #	Counts	Counts (folded)
    281	   1894	   3891
    282	   1962	   3988
    283	   1892	   3874
    284	   1967	   4054
    285	   1873	   3941
    286	   1930	   3992
    287	   2021	   4038
    288	   1926	   3948
    289	   2049	   4126
    290	   2042	   4208
    291	   1951	   4071
    292	   2001	   4111
    293	   2017	   4038
    294	   2024	   4081
    295	   2110	   4145
    296	   2068	   4147
    297	   2119	   4192
    298	   2097	   4116
    299	   2027	   4056
    300	   2098	   4273
    301	   2083	   4161
    302	   2078	   4197
    303	   2068	   4222
    304	   2141	   4202
    305	   2144	   4213
    306	   2154	   4220
    307	   2049	   4221
    308	   2086	   4236
    309	   2149	   4318
    310	   2128	   4243
    311	   2013	   4149
    312	   2050	   4279
    313	   2142	   4271
    314	   2066	   4206
    315	   2098	   4219
    316	   2121	   4206
    317	   2164	   4361
    318	   2215	   4274
    319	   2165	   4350
    320	   2096	   4285
    321	   2244	   4388
    322	   2098	   4207
    323	   2129	   4334
    324	   2119	   4209
    325	   2173	   4284
    326	   2183	   4316
    327	   2122	   4273
    328	   2047	   4132
    329	   2125	   4175
    330	   2176	   4393
    331	   2096	   4297
    332	   2049	   4178
    333	   2156	   4252
    334	   2115	   4246
    335	   2093	   4247
    336	   2173	   4286
    337	   2142	   4332
    338	   2152	   4240
    339	   2218	   4427
    340	   2110	   4239
    341	   2087	   4251
    342	   2047	   4185
    343	   2210	   4405
    344	   2159	   4229
    345	   2127	   4316
    346	   2091	   4256
    347	   2083	   4256
    348	   2224	   4330
    349	   2017	   4134
    350	   2090	   4227
    351	   2168	   4260
    352	   2119	   4203
    353	   2135	   4225
    354	   2116	   4207
    355	   2224	   4329
    356	   2070	   4082
    357	   2161	   4347
    358	   2096	   4239
    359	   2163	   4241
    360	   2141	   4331
    361	   2089	   4167
    362	   2130	   4192
    363	   2163	   4340
    364	   2145	   4273
    365	   2085	   4228
    366	   2158	   4246
    367	   2160	   4281
    368	   2075	   4234
    369	   2063	   4169
    370	   2170	   4247
    371	   2113	   4235
    372	   2132	   4217
    373	   2074	   4170
    374	   2141	   4233
    375	   2141	   4261
    376	   2047	   4162
    377	   2063	   4169
    378	   2143	   4233
    379	   2113	   4238
    380	   2085	   4196
    381	   2170	   4231
    382	   2122	   4259
    383	   2119	   4206
    384	   2137	   4292
    385	   2103	   4269
    386	   2108	   4241
    387	   2061	   4146
    388	   2067	   4161
    389	   2135	   4273
    390	   2054	   4154
    391	   2021	   4084
    392	   2174	   4342
    393	   2111	   4330
    394	   2247	   4404
    395	   2078	   4260
    396	   2064	   4172
    397	   2154	   4283
    398	   2144	   4226
    399	   2147	   4319
    400	   2156	   4278
    401	   2129	   4258
    402	   2158	   4290
    403	   2099	   4210
    404	   2180	   4283
    405	   2140	   4325
    406	   2129	   4285
    407	   2076	   4131
    408	   2186	   4330
    409	   2197	   4268
    410	   2136	   4152
    411	   2164	   4331
    412	   2140	   4382
    413	   2106	   4250
    414	   2157	   4374
    415	   2147	   4290
    416	   2159	   4259
    417	   2196	   4306
    418	   2202	   4253
    419	   2124	   4257
    420	   2096	   4231
    421	   2126	   4217
    422	   2221	   4298
    423	   2104	   4139
    424	   2118	   4258
    425	   2083	   4189
    426	   2198	   4326
    427	   2079	   4198
    428	   2145	   4271
    429	   2157	   4307
    430	   2084	   4273
    431	   2117	   4235
    432	   2086	   4256
    433	   2068	   4199
    434	   2216	   4260
    435	   2128	   4304
    436	   2102	   4194
    437	   2151	   4297
    438	   2104	   4234
    439	   2169	   4334
    440	   2007	   4175
    441	   2082	   4207
    442	   2162	   4368
    443	   2181	   4340
    444	   2128	   4204
    445	   2135	   4165
    446	   2142	   4264
    447	   2150	   4315
    448	   2114	   4175
    449	   2157	   4257
    450	   2122	   4221
    451	   2130	   4305
    452	   2101	   4252
    453	   1998	   4082
    454	   2130	   4173
    455	   2115	   4262
    456	   2083	   4268
    457	   2194	   4278
    458	   2164	   4349
    459	   2105	   4153
    460	   2149	   4290
    461	   2146	   4279
    462	   2149	   4271
    463	   2164	   4289
    464	   2267	   4409
    465	   2147	   4269
    466	   2181	   4388
    467	   2151	   4246
    468	   2088	   4235
    469	   2129	   4212
    470	   2221	   4285
    471	   2107	   4184
    472	   2185	   4312
    473	   2171	   4318
    474	   2100	   4204
    475	   2159	   4265
    476	   2034	   4142
    477	   2185	   4264
    478	   2135	   4296
    479	   2039	   4141
    480	   2147	   4251
    481	   2255	   4422
    482	   2141	   4313
    483	   2119	   4232
    484	   2120	   4229
    485	   2123	   4193
    486	   2049	   4213
    487	   2106	   4178
    488	   2185	   4316
    489	   2113	   4226
    490	   2150	   4373
    491	   2030	   4206
    492	   2088	   4204
    493	   2108	   4232
    494	   2147	   4250
    495	   2203	   4297
    496	   2123	   4281
    497	   2053	   4213
    498	   2197	   4431
    499	   2134	   4263
    500	   2088	   4219
    501	   2099	   4240
    502	   2149	   4371
    503	   2089	   4201
    504	   2113	   4230
    505	   2087	   4144
    506	   2151	   4367
    507	   2201	   4340
    508	   2267	   4372
    509	   2105	      0
    510	   2139	      0
    511	   2216	      0
    512	   2057	      0
    513	   2117	      0
    514	   2112	      0
    515	   2222	      0
    516	   2141	      0
    517	   2131	      0
    518	   2129	      0
    519	   2234	      0
    520	   2160	      0
    521	   2158	      0
    522	   2094	      0
    523	   2103	      0
    524	   2124	      0
    525	   2116	      0
    526	   2176	      0
    527	   2223	      0
    528	   2113	      0
    529	   2131	      0
    530	   2072	      0
    531	   2164	      0
    532	   2070	      0
    533	   2109	      0
    534	   2113	      0
    535	   2172	      0
    536	   2167	      0
    537	   2104	      0
    538	   2102	      0
    539	   2161	      0
    540	   2079	      0
    541	   2108	      0
    542	   2106	      0
    543	   2104	      0
    544	   2147	      0
    545	   2127	      0
    546	   2077	      0
    547	   2064	      0
    548	   2083	      0
    549	   2147	      0
    550	   2095	      0
    551	   2207	      0
    552	   2122	      0
    553	   2142	      0
    554	   2125	      0
    555	   2122	      0
    556	   2133	      0
    557	   2141	      0
    558	   2048	      0
    559	   2185	      0
    560	   2084	      0
    561	   2185	      0
    562	   2147	      0
    563	   2043	      0
    564	   2084	      0
    565	   2151	      0
    566	   2175	      0
    567	   2099	      0
    568	   2100	      0
    569	   2061	      0
    570	   2165	      0
    571	   2122	      0
    572	   2030	      0
    573	   2076	      0
    574	   2159	      0
    575	   2206	      0
    576	   2125	      0
    577	   2168	      0
    578	   2165	      0
    579	   2130	      0
    580	   2146	      0
    581	   2092	      0
    582	   2176	      0
    583	   2044	      0
    584	   2131	      0
    585	   2170	      0
    586	   2118	      0
    587	   2189	      0
    588	   2150	      0
    589	   2126	      0
    590	   2119	      0
    591	   2128	      0
    592	   2106	      0
    593	   2140	      0
    594	   2035	      0
    595	   2077	      0
    596	   2091	      0
    597	   2135	      0
    598	   2133	      0
    599	   2051	      0
    600	   2110	      0
    601	   2100	      0
    602	   2143	      0
    603	   2217	      0
    604	   2144	      0
    605	   2242	      0
    606	   2167	      0
    607	   2016	      0
    608	   2071	      0
    609	   2144	      0
    610	   2055	      0
    611	   2156	      0
    612	   2185	      0
    613	   2103	      0
    614	   2111	      0
    615	   2132	      0
    616	   2129	      0
    617	   2122	      0
    618	   2172	      0
    619	   2082	      0
    620	   2129	      0
    621	   2108	      0
    622	   2182	      0
    623	   2157	      0
    624	   2219	      0
    625	   2168	      0
    626	   2063	      0
    627	   2100	      0
    628	   2138	      0
    629	   2094	      0
    630	   2085	      0
    631	   2133	      0
    632	   2166	      0
    633	   2155	      0
    634	   2087	      0
    635	   2137	      0
    636	   2061	      0
    637	   2111	      0
    638	   2125	      0
    639	   2090	      0
    640	   2106	      0
    641	   2115	      0
    642	   2120	      0
    643	   2092	      0
    644	   2096	      0
    645	   2085	      0
    646	   2122	      0
    647	   2077	      0
    648	   2106	      0
    649	   2159	      0
    650	   2121	      0
    651	   2088	      0
    652	   2143	      0
    653	   2128	      0
    654	   2177	      0
    655	   2062	      0
    656	   2078	      0
    657	   2190	      0
    658	   2078	      0
    659	   2143	      0
    660	   2186	      0
    661	   2012	      0
    662	   2105	      0
    663	   2091	      0
    664	   2090	      0
    665	   2084	      0
    666	   2092	      0
    667	   2137	      0
    668	   2117	      0
    669	   2106	      0
    670	   2173	      0
    671	   2165	      0
    672	   2189	      0
    673	   2070	      0
    674	   2195	      0
    675	   2138	      0
    676	   2164	      0
    677	   2129	      0
    678	   2209	      0
    679	   2088	      0
    680	   2190	      0
    681	   2113	      0
    682	   2154	      0
    683	   2131	      0
    684	   2096	      0
