Original file:
C:\Users\Kryolabor\Desktop\131124Joekob\gelbes_bls.txt
Date / time: 20.11.2024, 10:01:45
Sample: Gelbes Bls
Comments: 20,0 mV
Channel #	Counts	Counts (folded)
    281	  14823	  29975
    282	  14661	  29494
    283	  14868	  29715
    284	  14760	  29443
    285	  15129	  29668
    286	  14762	  29859
    287	  14977	  30095
    288	  14909	  29950
    289	  14898	  30306
    290	  15062	  29537
    291	  15085	  30221
    292	  14773	  30007
    293	  15173	  29590
    294	  15150	  29979
    295	  14666	  30086
    296	  15015	  29854
    297	  15190	  30014
    298	  14919	  30239
    299	  14953	  30057
    300	  15105	  30100
    301	  15079	  29924
    302	  15097	  29830
    303	  14876	  30181
    304	  14985	  30266
    305	  14971	  29954
    306	  14921	  30223
    307	  15008	  30294
    308	  15013	  30178
    309	  15002	  30194
    310	  15204	  30488
    311	  15084	  30254
    312	  15016	  30219
    313	  15091	  29922
    314	  15003	  30185
    315	  15102	  30265
    316	  15061	  30402
    317	  15313	  30279
    318	  15149	  30132
    319	  15159	  30042
    320	  15197	  30141
    321	  15104	  30017
    322	  15092	  30498
    323	  14960	  30129
    324	  15384	  30555
    325	  15031	  30223
    326	  15503	  30210
    327	  15185	  30129
    328	  15179	  30248
    329	  15195	  30109
    330	  15067	  30118
    331	  14955	  30051
    332	  15123	  30052
    333	  14986	  30369
    334	  14875	  29958
    335	  15194	  29943
    336	  14995	  30061
    337	  14960	  30292
    338	  15211	  30509
    339	  15203	  30034
    340	  15294	  30187
    341	  14879	  30069
    342	  14917	  30471
    343	  15098	  30386
    344	  15209	  30040
    345	  15126	  30070
    346	  15015	  30388
    347	  14974	  30312
    348	  15242	  29849
    349	  15276	  30367
    350	  14731	  30210
    351	  15298	  30192
    352	  15093	  30441
    353	  15051	  30102
    354	  15276	  30102
    355	  15012	  29947
    356	  15158	  30114
    357	  14983	  30263
    358	  15065	  30369
    359	  15133	  29939
    360	  15171	  30368
    361	  14947	  30168
    362	  15228	  30299
    363	  15088	  30323
    364	  15247	  30215
    365	  15043	  30169
    366	  15258	  29962
    367	  15060	  30315
    368	  15086	  30170
    369	  15144	  30283
    370	  15205	  30144
    371	  15343	  30288
    372	  15144	  30395
    373	  15101	  30137
    374	  15199	  30111
    375	  15225	  30040
