Original file:
C:\Users\Kryolabor\Desktop\131124Joekob\fe_2O_3.txt
Date / time: 15.11.2024, 13:10:44
Sample: Fe_2O_3
Comments: 80.0 mV
Channel #	Counts	Counts (folded)
      0	  18979	  37883
      1	  18809	  37601
      2	  18920	  37940
      3	  18864	  37925
      4	  18918	  37907
      5	  19227	  38173
      6	  18971	  37568
      7	  18751	  37764
      8	  19182	  38139
      9	  19142	  38308
     10	  18971	  37829
     11	  18814	  37848
     12	  19026	  37998
     13	  18761	  37546
     14	  18878	  37773
     15	  18991	  37868
     16	  18855	  37813
     17	  18874	  37993
     18	  18918	  37940
     19	  18921	  37793
     20	  18717	  37633
     21	  18953	  38239
     22	  18799	  37695
     23	  19045	  37885
     24	  18959	  37742
     25	  19206	  38375
     26	  18761	  37590
     27	  18732	  37693
     28	  18846	  37560
     29	  18638	  37248
     30	  18950	  37951
     31	  18937	  37849
     32	  18855	  37629
     33	  18808	  37627
     34	  18763	  37917
     35	  18872	  37792
     36	  19137	  37931
     37	  18832	  38002
     38	  18841	  37741
     39	  18959	  37799
     40	  18995	  38080
     41	  18957	  37916
     42	  18948	  37808
     43	  19156	  38065
     44	  18824	  37878
     45	  18893	  37859
     46	  18955	  37891
     47	  18889	  37718
     48	  18927	  37830
     49	  18997	  37930
     50	  18896	  37837
     51	  18941	  37997
     52	  19037	  37846
     53	  18901	  37850
     54	  18985	  37934
     55	  18791	  37808
     56	  18945	  37790
     57	  18967	  37885
     58	  18918	  37517
     59	  19033	  37803
     60	  18933	  37750
     61	  19086	  37723
     62	  19034	  37820
     63	  19038	  38010
     64	  18938	  37859
     65	  18817	  37641
     66	  19340	  38079
     67	  18797	  37831
     68	  18885	  37938
     69	  18684	  37471
     70	  19181	  37988
     71	  18733	  37719
     72	  19099	  37902
     73	  18799	  37628
     74	  19193	  38099
     75	  18801	  37726
     76	  18846	  37627
     77	  19194	  38100
     78	  18756	  37489
     79	  18893	  37639
     80	  18939	  37860
     81	  18667	  37550
     82	  18922	  37714
     83	  18967	  37824
     84	  18760	  37811
     85	  19023	  38102
     86	  18865	  37746
     87	  18768	  37511
     88	  18932	  37832
     89	  19006	  37782
     90	  19089	  38110
     91	  18846	  37575
     92	  18683	  37319
     93	  19130	  37992
     94	  19093	  38072
     95	  19124	  38021
     96	  19126	  38114
     97	  18878	  37745
     98	  18730	  37686
     99	  18968	  37588
    100	  18930	  37786
    101	  19098	  37880
    102	  18768	  37741
    103	  18949	  37964
    104	  19057	  37849
    105	  18946	  37846
    106	  18805	  37311
    107	  18863	  37978
    108	  18836	  37831
    109	  19033	  37978
    110	  19257	  38108
    111	  18865	  37699
    112	  18993	  37538
    113	  18957	  37860
    114	  19026	  37787
    115	  18896	  37710
    116	  18829	  37667
    117	  18870	  37892
    118	  18605	  37342
    119	  19016	  37763
    120	  18910	  37731
    121	  19007	  37930
    122	  19148	  37830
    123	  18875	  37785
    124	  18828	  37762
    125	  18710	  37283
    126	  18787	  37523
    127	  18920	  37651
    128	  18674	  37279
    129	  18678	  37217
    130	  18958	  37261
    131	  18578	  36771
    132	  18743	  36551
    133	  18517	  36171
    134	  18192	  35460
    135	  18223	  34587
    136	  17999	  33966
    137	  17960	  34205
    138	  17244	  33610
    139	  16747	  33770
    140	  16060	  33830
    141	  16010	  34338
    142	  16264	  34541
    143	  16776	  35229
    144	  17289	  35792
    145	  17902	  36545
    146	  18046	  36665
    147	  18352	  37135
    148	  18596	  37274
    149	  18622	  37432
    150	  18708	  37417
    151	  18671	  37378
    152	  18985	  37545
    153	  18805	  37790
    154	  18673	  37648
    155	  18525	  37574
    156	  18880	  37462
    157	  18867	  37537
    158	  18974	  37786
    159	  18968	  37752
    160	  19073	  38114
    161	  18961	  37761
    162	  18892	  37639
    163	  18757	  37655
    164	  18831	  37939
    165	  18835	  37618
    166	  18615	  37555
    167	  18770	  37700
    168	  18823	  37559
    169	  19160	  37997
    170	  18793	  37448
    171	  18948	  37470
    172	  19018	  37962
    173	  19164	  37972
    174	  18871	  37744
    175	  18969	  37693
    176	  18924	  37674
    177	  18888	  37534
    178	  18757	  37604
    179	  19038	  37854
    180	  19023	  37565
    181	  18721	  37009
    182	  18902	  37225
    183	  18899	  36547
    184	  18725	  35634
    185	  18653	  35253
    186	  18262	  34666
    187	  17887	  35000
    188	  17696	  35526
    189	  16853	  34783
    190	  16520	  34955
    191	  17109	  35683
    192	  17810	  36414
    193	  18136	  36902
    194	  18380	  37271
    195	  18719	  37506
    196	  18655	  37490
    197	  18895	  37416
    198	  18838	  37690
    199	  19151	  38179
    200	  18752	  37562
    201	  19020	  37944
    202	  18919	  37579
    203	  18836	  37508
    204	  18605	  37479
    205	  18933	  37789
    206	  19075	  37748
    207	  18925	  37940
    208	  19027	  37825
    209	  18745	  37416
    210	  18727	  37631
    211	  19032	  37976
    212	  18853	  37714
    213	  18820	  37644
    214	  18954	  37735
    215	  18930	  37728
    216	  18762	  37697
    217	  18914	  37836
    218	  19093	  37791
    219	  18957	  37736
    220	  18867	  37449
    221	  18991	  37846
    222	  18842	  37741
    223	  19059	  37867
    224	  18765	  37746
    225	  18914	  37528
    226	  19169	  37716
    227	  18908	  37630
    228	  18874	  37486
    229	  18772	  37184
    230	  18813	  36352
    231	  18601	  35963
    232	  18697	  36104
    233	  18519	  36776
    234	  18009	  36593
    235	  17401	  35783
    236	  17305	  36064
    237	  18150	  36649
    238	  18444	  37174
    239	  18586	  37488
    240	  19070	  38231
    241	  18956	  37818
    242	  18766	  37612
    243	  18783	  37606
    244	  19036	  37597
    245	  19176	  37903
    246	  18941	  38008
    247	  19070	  37753
    248	  18891	  37718
    249	  18975	  37959
    250	  19056	  37839
    251	  19200	  38256
    252	  18934	  37880
    253	  19129	  37875
    254	  18987	  37749
    255	  18861	  37556
    256	  18868	  37786
    257	  18801	  37681
    258	  19008	  37888
    259	  18769	  37454
    260	  18915	  37732
    261	  18692	  37131
    262	  18901	  37150
    263	  19051	  36647
    264	  18667	  35881
    265	  18552	  35955
    266	  18328	  36415
    267	  17744	  35977
    268	  17304	  35856
    269	  17490	  36277
    270	  18068	  36715
    271	  18548	  37227
    272	  18590	  37291
    273	  18885	  37800
    274	  18510	  37549
    275	  18770	  37520
    276	  18732	  37606
    277	  18931	  37638
    278	  18894	  37666
    279	  18745	  37782
    280	  19091	  37883
    281	  18883	  37543
    282	  18782	  37888
    283	  18980	  38069
    284	  18706	  37677
    285	  18784	  38007
    286	  18818	  37905
    287	  18835	  37676
    288	  18964	  38031
    289	  18920	  37729
    290	  19036	  37849
    291	  18986	  37912
    292	  19132	  37945
    293	  18973	  37973
    294	  19031	  37845
    295	  18918	  37469
    296	  18947	  37710
    297	  18846	  37434
    298	  18756	  37330
    299	  18760	  37771
    300	  18660	  37309
    301	  19032	  37812
    302	  18915	  37552
    303	  19051	  37739
    304	  18922	  37239
    305	  18700	  37496
    306	  18661	  37001
    307	  18913	  37092
    308	  18569	  35666
    309	  18648	  34911
    310	  18495	  34787
    311	  18019	  35299
    312	  17353	  35178
    313	  16691	  34841
    314	  16233	  34631
    315	  17255	  35620
    316	  17837	  36337
    317	  18255	  37106
    318	  18491	  37299
    319	  18470	  37217
    320	  18676	  37570
    321	  18673	  37341
    322	  18695	  37607
    323	  18705	  37527
    324	  18915	  37625
    325	  18780	  37385
    326	  18985	  38027
    327	  18915	  37812
    328	  18772	  37276
    329	  18659	  37194
    330	  18930	  37820
    331	  18690	  37785
    332	  18648	  37254
    333	  18932	  37676
    334	  18780	  37702
    335	  18911	  37815
    336	  18869	  37729
    337	  18935	  37720
    338	  18961	  37520
    339	  18995	  38045
    340	  18938	  37462
    341	  18438	  37243
    342	  19242	  38031
    343	  18972	  37848
    344	  19051	  38005
    345	  18716	  37643
    346	  18858	  37572
    347	  19068	  37939
    348	  18956	  37789
    349	  18922	  37569
    350	  18873	  37758
    351	  18722	  37578
    352	  18704	  37244
    353	  18869	  37628
    354	  18742	  37337
    355	  18859	  37508
    356	  18603	  37038
    357	  18717	  37251
    358	  18631	  36664
    359	  18732	  36406
    360	  18393	  35719
    361	  18536	  35200
    362	  18292	  34464
    363	  18063	  34246
    364	  17562	  33820
    365	  16863	  33722
    366	  16407	  33694
    367	  16031	  33667
    368	  16152	  34181
    369	  16519	  34956
    370	  17157	  35992
    371	  17771	  36084
    372	  18085	  36853
    373	  18285	  37075
    374	  18609	  37171
    375	  18500	  37315
    376	  18483	  37097
    377	  18850	  37599
    378	  18812	  37566
    379	  18813	  37618
    380	  18921	  37524
    381	  18776	  37385
    382	  18753	  37556
    383	  18882	  37581
    384	  18718	  37544
    385	  19115	  37890
    386	  18810	  37991
    387	  18967	  37960
    388	  18751	  37606
    389	  18687	  37684
    390	  18679	  37463
    391	  18928	  37932
    392	  18744	  37673
    393	  18819	  37520
    394	  18977	  38020
    395	  18863	  37785
    396	  18822	  37823
    397	  18938	  37740
    398	  18952	  37975
    399	  18989	  37675
    400	  19310	  38091
    401	  18843	  37704
    402	  19135	  37872
    403	  18791	  37564
    404	  18997	  37946
    405	  18960	  37919
    406	  18872	  37758
    407	  18999	  37856
    408	  18815	  37720
    409	  18961	  37910
    410	  18912	  37886
    411	  18988	  37773
    412	  18816	  37663
    413	  18809	  37674
    414	  18858	  37783
    415	  18768	  37630
    416	  19185	  38236
    417	  18971	  37779
    418	  19095	  38034
    419	  19141	  38087
    420	  18922	  37807
    421	  18818	  37709
    422	  18947	  37935
    423	  18954	  37825
    424	  18541	  37334
    425	  18889	  37813
    426	  19006	  37779
    427	  18817	  37650
    428	  19060	  38248
    429	  18961	  37902
    430	  18646	  37139
    431	  18941	  37731
    432	  18638	  37570
    433	  18858	  37714
    434	  18778	  37800
    435	  19027	  37990
    436	  18869	  37591
    437	  19067	  38087
    438	  19103	  38035
    439	  19166	  38161
    440	  18614	  37570
    441	  19018	  37934
    442	  18872	  37990
    443	  19004	  37877
    444	  19068	  38002
    445	  18933	  38085
    446	  18801	  37724
    447	  19133	  37806
    448	  19061	  38071
    449	  18660	  37436
    450	  18863	  37538
    451	  19060	  38001
    452	  18917	  37619
    453	  18777	  37428
    454	  18984	  38030
    455	  19304	  38252
    456	  18984	  37868
    457	  18867	  37757
    458	  18859	  37914
    459	  19100	  38075
    460	  19134	  38058
    461	  18761	  37658
    462	  18721	  37486
    463	  19093	  37921
    464	  18994	  37883
    465	  18714	  37511
    466	  18958	  37757
    467	  19082	  37987
    468	  19110	  37975
    469	  19130	  37935
    470	  18933	  37982
    471	  18767	  38017
    472	  18955	  37789
    473	  18863	  37688
    474	  18958	  37949
    475	  18843	  37946
    476	  18977	  37657
    477	  18988	  37841
    478	  18902	  37763
    479	  18844	  37772
    480	  18892	  37714
    481	  18939	  37854
    482	  18800	  37682
    483	  19128	  38162
    484	  19090	  37921
    485	  18747	  37532
    486	  18971	  37905
    487	  18961	  37732
    488	  18893	  37763
    489	  18940	  38134
    490	  18940	  37835
    491	  18982	  37820
    492	  18737	  37720
    493	  18995	  37957
    494	  18994	  38015
    495	  19034	  37944
    496	  18947	  37457
    497	  19059	  38131
    498	  19033	  37921
    499	  18754	  37556
    500	  19046	  37965
    501	  18969	  37912
    502	  19205	  38097
    503	  19010	  37830
    504	  19072	  38017
    505	  18973	  38005
    506	  19135	  37972
    507	  18844	  37533
    508	  18978	  37778
    509	  19210	  38280
    510	  18768	  37593
    511	  18825	      0
    512	  19070	      0
    513	  18800	      0
    514	  18689	      0
    515	  18837	      0
    516	  19032	      0
    517	  18945	      0
    518	  18820	      0
    519	  18892	      0
    520	  18943	      0
    521	  18919	      0
    522	  18802	      0
    523	  18888	      0
    524	  19072	      0
    525	  18510	      0
    526	  18910	      0
    527	  19021	      0
    528	  18962	      0
    529	  18983	      0
    530	  18838	      0
    531	  18895	      0
    532	  19194	      0
    533	  18870	      0
    534	  18771	      0
    535	  18934	      0
    536	  18785	      0
    537	  18831	      0
    538	  19034	      0
    539	  18882	      0
    540	  18915	      0
    541	  18822	      0
    542	  18928	      0
    543	  18861	      0
    544	  18853	      0
    545	  18680	      0
    546	  19103	      0
    547	  18991	      0
    548	  18825	      0
    549	  18834	      0
    550	  19250	      0
    551	  19049	      0
    552	  18805	      0
    553	  18865	      0
    554	  18905	      0
    555	  18799	      0
    556	  18797	      0
    557	  18889	      0
    558	  18828	      0
    559	  18765	      0
    560	  18897	      0
    561	  18924	      0
    562	  18975	      0
    563	  19055	      0
    564	  18890	      0
    565	  18884	      0
    566	  18948	      0
    567	  19046	      0
    568	  18651	      0
    569	  18702	      0
    570	  18941	      0
    571	  18675	      0
    572	  18776	      0
    573	  19010	      0
    574	  18673	      0
    575	  18923	      0
    576	  19152	      0
    577	  18934	      0
    578	  18873	      0
    579	  19118	      0
    580	  18916	      0
    581	  18956	      0
    582	  18995	      0
    583	  18932	      0
    584	  19020	      0
    585	  18722	      0
    586	  18963	      0
    587	  19022	      0
    588	  18856	      0
    589	  18932	      0
    590	  18790	      0
    591	  18493	      0
    592	  18941	      0
    593	  19188	      0
    594	  18833	      0
    595	  18773	      0
    596	  18924	      0
    597	  18793	      0
    598	  18871	      0
    599	  18988	      0
    600	  18891	      0
    601	  18885	      0
    602	  18946	      0
    603	  18939	      0
    604	  18808	      0
    605	  19051	      0
    606	  18862	      0
    607	  18925	      0
    608	  18865	      0
    609	  18847	      0
    610	  18785	      0
    611	  18974	      0
    612	  18949	      0
    613	  18905	      0
    614	  18857	      0
    615	  18886	      0
    616	  18959	      0
    617	  18949	      0
    618	  18773	      0
    619	  18737	      0
    620	  18861	      0
    621	  18781	      0
    622	  18686	      0
    623	  19023	      0
    624	  18802	      0
    625	  19001	      0
    626	  18922	      0
    627	  19043	      0
    628	  18701	      0
    629	  18929	      0
    630	  19004	      0
    631	  18784	      0
    632	  18997	      0
    633	  18855	      0
    634	  18993	      0
