Original file:
C:\Users\Kryolabor\Desktop\131124Joekob\fe_3O_4.txt
Date / time: 18.11.2024, 14:33:24
Sample: Fe_3O_4
Comments: 80.0 mV
Channel #	Counts	Counts (folded)
    281	  74189	 148048
    282	  74408	 148246
    283	  74529	 148145
    284	  74159	 147923
    285	  73853	 147848
    286	  74059	 147411
    287	  74043	 148049
    288	  73979	 147772
    289	  74543	 148468
    290	  74136	 147556
    291	  74186	 147640
    292	  74276	 148344
    293	  74423	 148306
    294	  74093	 147291
    295	  74070	 147023
    296	  73763	 146255
    297	  73845	 145889
    298	  73589	 143830
    299	  73645	 142536
    300	  73218	 141801
    301	  72162	 141599
    302	  70873	 141796
    303	  69521	 140966
    304	  68144	 140658
    305	  69340	 141491
    306	  71200	 143444
    307	  72218	 143011
    308	  72928	 143335
    309	  72465	 142076
    310	  72756	 144076
    311	  72011	 143981
    312	  70784	 143757
    313	  70105	 143358
    314	  70837	 144017
    315	  72070	 145359
    316	  72954	 146859
    317	  73535	 147270
    318	  73398	 147692
    319	  73873	 147508
    320	  73989	 147190
    321	  74061	 147832
    322	  74352	 147551
    323	  73980	 147615
    324	  73951	 147935
    325	  74512	 147843
    326	  73843	 147315
    327	  73536	 147274
    328	  73849	 147678
    329	  73947	 147738
    330	  73812	 147308
    331	  74289	 147611
    332	  73948	 147737
    333	  74171	 148191
    334	  73609	 146906
    335	  73828	 146983
    336	  73563	 146631
    337	  73499	 145890
    338	  74009	 146307
    339	  73251	 144479
    340	  72789	 142671
    341	  72844	 141251
    342	  72299	 140677
    343	  71653	 138414
    344	  70400	 137882
    345	  69374	 138892
    346	  68000	 138371
    347	  67785	 139060
    348	  68153	 140255
    349	  69154	 141244
    350	  70544	 143164
    351	  71357	 144012
    352	  72391	 144728
    353	  72352	 143604
    354	  72764	 143445
    355	  73317	 142854
    356	  72295	 141033
    357	  72637	 141902
    358	  71417	 141579
    359	  69617	 141177
    360	  69159	 140899
    361	  69299	 142218
    362	  69910	 143036
    363	  71479	 144815
    364	  72029	 145879
    365	  72391	 146011
    366	  72778	 146533
    367	  73226	 147129
    368	  73241	 147212
    369	  73974	 148014
    370	  73787	 147316
    371	  74131	 147732
    372	  73829	 147606
    373	  74106	 147967
    374	  73995	 148074
    375	  73722	 148026
    376	  74032	 148051
    377	  74114	 147840
    378	  74245	 148135
    379	  74075	 148324
    380	  74567	 148594
    381	  74063	 148218
    382	  74641	 148378
    383	  74314	 148183
    384	  74518	 148093
    385	  73956	 148232
    386	  74382	 148354
    387	  73908	 147636
    388	  74228	 148014
    389	  74500	 148540
    390	  74128	 147910
    391	  73899	 147763
    392	  74940	 149048
    393	  74070	 147898
    394	  74570	 148611
    395	  74440	 148338
    396	  73979	 148381
    397	  74319	 148515
    398	  74309	 148669
    399	  74079	 147867
    400	  74045	 148058
    401	  73775	 147968
    402	  74123	 148047
    403	  74553	 148498
    404	  74528	 148834
    405	  73774	 147573
    406	  74252	 148549
    407	  74350	 147864
    408	  74160	 148408
    409	  74606	 148929
    410	  74411	 148109
    411	  74273	 148524
    412	  74462	 148505
    413	  74654	 148037
    414	  74356	 147923
    415	  73952	 148250
    416	  74655	 148969
    417	  74504	 148078
    418	  74241	 148005
    419	  74601	 149118
    420	  74547	 148542
    421	  73994	 147609
    422	  73793	 147632
    423	  74439	 148452
    424	  74502	 148673
    425	  73797	 147469
    426	  74540	 148274
    427	  74035	 147891
    428	  74555	 148471
    429	  73926	 148057
    430	  74434	 148364
    431	  74223	 148387
    432	  74106	 148351
    433	  74448	 148598
    434	  74274	 148069
    435	  74472	 148264
    436	  74275	 148494
    437	  74242	 148352
    438	  74525	 148073
    439	  74429	 148629
    440	  74348	 148278
    441	  74154	 148405
    442	  74185	 148079
    443	  74776	 148738
    444	  74340	 147868
    445	  74303	 148574
    446	  74224	 148094
    447	  74027	 148287
    448	  74001	 148019
    449	  74190	 148354
    450	  73815	 148052
    451	  73687	 147351
    452	  74730	 149081
    453	  74463	 148273
    454	  74054	 148314
    455	  74029	 148177
    456	  73787	 147575
    457	  74172	 148065
    458	  74368	 148791
    459	  74135	 147685
    460	  74334	 148547
    461	  74629	 148507
    462	  74630	 149053
    463	  74332	 148210
    464	  74227	 148566
    465	  74384	 148323
    466	  74533	 148725
    467	  74026	 148476
    468	  74724	 148742
    469	  74391	 148156
    470	  74328	 148324
    471	  73920	 148063
    472	  74158	 148192
    473	  75133	 149446
    474	  74162	 148607
    475	  74284	 147999
    476	  74650	 148770
    477	  73925	 147625
    478	  74037	 148600
    479	  73915	 147792
    480	  74178	 148180
    481	  74716	 148715
    482	  74076	 148585
    483	  74728	 148504
    484	  74155	 148411
    485	  73985	 148148
    486	  74008	 147783
    487	  74047	 148025
    488	  74156	 148612
    489	  74194	 148098
    490	  74184	 147869
    491	  74083	 148484
    492	  74416	 148452
    493	  73866	 147625
    494	  73942	 148066
    495	  74211	 148162
    496	  74005	 148356
    497	  74365	 148760
    498	  74414	 148730
    499	  74116	 148591
    500	  74107	 148290
    501	  74241	 148489
    502	  74551	 148547
    503	  74752	 148422
    504	  74804	 149144
    505	  74381	 148329
    506	  74458	 148675
    507	  74442	 148355
    508	  74191	 148196
    509	  74826	 149230
    510	  74368	 148445
    511	  74077	      0
    512	  74404	      0
    513	  74005	      0
    514	  73913	      0
    515	  74217	      0
    516	  73948	      0
    517	  74340	      0
    518	  73670	      0
    519	  73996	      0
    520	  74248	      0
    521	  74183	      0
    522	  74475	      0
    523	  74316	      0
    524	  74395	      0
    525	  74351	      0
    526	  73951	      0
    527	  74124	      0
    528	  73759	      0
    529	  74036	      0
    530	  74401	      0
    531	  73685	      0
    532	  73904	      0
    533	  74456	      0
    534	  73978	      0
    535	  73775	      0
    536	  74163	      0
    537	  74256	      0
    538	  73776	      0
    539	  74509	      0
    540	  73999	      0
    541	  74002	      0
    542	  73877	      0
    543	  74563	      0
    544	  73700	      0
    545	  74120	      0
    546	  73715	      0
    547	  74445	      0
    548	  74313	      0
    549	  74034	      0
    550	  74143	      0
    551	  73996	      0
    552	  73765	      0
    553	  74018	      0
    554	  74450	      0
    555	  74192	      0
    556	  73939	      0
    557	  74339	      0
    558	  73878	      0
    559	  74423	      0
    560	  73878	      0
    561	  74213	      0
    562	  73550	      0
    563	  74423	      0
    564	  73893	      0
    565	  73788	      0
    566	  74148	      0
    567	  74260	      0
    568	  73810	      0
    569	  74351	      0
    570	  73664	      0
    571	  74237	      0
    572	  74164	      0
    573	  74018	      0
    574	  74260	      0
    575	  73870	      0
    576	  74271	      0
    577	  73528	      0
    578	  73962	      0
    579	  73894	      0
    580	  74251	      0
    581	  73930	      0
    582	  74200	      0
    583	  73548	      0
    584	  74110	      0
    585	  74219	      0
    586	  73792	      0
    587	  73795	      0
    588	  74150	      0
    589	  74245	      0
    590	  74164	      0
    591	  73930	      0
    592	  74131	      0
    593	  73916	      0
    594	  73856	      0
    595	  73734	      0
    596	  73672	      0
    597	  74171	      0
    598	  74013	      0
    599	  73839	      0
    600	  73615	      0
    601	  73995	      0
    602	  74517	      0
    603	  73764	      0
    604	  73574	      0
    605	  74314	      0
    606	  74298	      0
    607	  73567	      0
    608	  73383	      0
    609	  74043	      0
    610	  74251	      0
    611	  73698	      0
    612	  74323	      0
    613	  74248	      0
    614	  73514	      0
    615	  74297	      0
    616	  73799	      0
    617	  74306	      0
    618	  73945	      0
    619	  73924	      0
    620	  74193	      0
    621	  74013	      0
    622	  73788	      0
    623	  74360	      0
    624	  74196	      0
    625	  74402	      0
    626	  73898	      0
    627	  74041	      0
    628	  73828	      0
    629	  74108	      0
    630	  73864	      0
    631	  73782	      0
    632	  74040	      0
    633	  73786	      0
    634	  73728	      0
    635	  73972	      0
    636	  74276	      0
    637	  73575	      0
    638	  73869	      0
    639	  73737	      0
    640	  74155	      0
    641	  74027	      0
    642	  74249	      0
    643	  73890	      0
    644	  73726	      0
    645	  74019	      0
    646	  74304	      0
    647	  74079	      0
    648	  73861	      0
    649	  73777	      0
    650	  73601	      0
    651	  73529	      0
    652	  74040	      0
    653	  73971	      0
    654	  73903	      0
    655	  73755	      0
    656	  73620	      0
    657	  73850	      0
    658	  73336	      0
    659	  73126	      0
    660	  72919	      0
    661	  71740	      0
    662	  71560	      0
    663	  70162	      0
    664	  69265	      0
    665	  68738	      0
    666	  69537	      0
    667	  70681	      0
    668	  71252	      0
