TotalSpectrum-x_point	TotalSpectrum-y_point	TotalSpectrum-x_line	TotalSpectrum-y_line	Subspectrum2-x_line	Subspectrum2-y_line
2.95242	30463	2.95242	30208.9	2.95242	30208.9
2.9608	30277	2.9608	30208.9	2.9608	30208.9
2.96906	30346	2.96906	30209	2.96906	30209
2.97722	29939	2.97722	30209	2.97722	30209
2.98526	30271	2.98526	30209.1	2.98526	30209.1
2.99319	30387	2.99319	30209.1	2.99319	30209.1
3.001	30017	3.001	30209.2	3.001	30209.2
3.00871	29942	3.00871	30209.2	3.00871	30209.2
3.0163	30430	3.0163	30209.3	3.0163	30209.3
3.02377	30093	3.02377	30209.3	3.02377	30209.3
3.03114	30241	3.03114	30209.4	3.03114	30209.4
3.03838	30185	3.03838	30209.4	3.03838	30209.4
3.04552	29908	3.04552	30209.4	3.04552	30209.4
3.05254	30493	3.05254	30209.5	3.05254	30209.5
3.05944	30599	3.05944	30209.5	3.05944	30209.5
3.06623	29947	3.06623	30209.6	3.06623	30209.6
3.07291	30372	3.07291	30209.6	3.07291	30209.6
3.07946	29989	3.07946	30209.6	3.07946	30209.6
3.08591	30332	3.08591	30209.7	3.08591	30209.7
3.09223	30281	3.09223	30209.7	3.09223	30209.7
3.09844	30352	3.09844	30209.7	3.09844	30209.7
3.10454	30419	3.10454	30209.8	3.10454	30209.8
3.11051	30218	3.11051	30209.8	3.11051	30209.8
3.11637	30097	3.11637	30209.8	3.11637	30209.8
3.12211	30053	3.12211	30209.9	3.12211	30209.9
3.12774	30244	3.12774	30209.9	3.12774	30209.9
3.13325	30059	3.13325	30209.9	3.13325	30209.9
3.13863	30349	3.13863	30210	3.13863	30210
3.1439	30063	3.1439	30210	3.1439	30210
3.14906	30325	3.14906	30210	3.14906	30210
3.15409	30065	3.15409	30210	3.15409	30210
3.159	30034	3.159	30210.1	3.159	30210.1
3.1638	30099	3.1638	30210.1	3.1638	30210.1
3.16848	30336	3.16848	30210.1	3.16848	30210.1
3.17303	30166	3.17303	30210.1	3.17303	30210.1
3.17747	30017	3.17747	30210.2	3.17747	30210.2
3.18179	30046	3.18179	30210.2	3.18179	30210.2
3.18599	29923	3.18599	30210.2	3.18599	30210.2
3.19007	30181	3.19007	30210.2	3.19007	30210.2
3.19402	30441	3.19402	30210.2	3.19402	30210.2
3.19786	30065	3.19786	30210.3	3.19786	30210.3
3.20158	30432	3.20158	30210.3	3.20158	30210.3
3.20518	30185	3.20518	30210.3	3.20518	30210.3
3.20865	30349	3.20865	30210.3	3.20865	30210.3
3.21201	30427	3.21201	30210.3	3.21201	30210.3
3.21525	30228	3.21525	30210.4	3.21525	30210.4
3.21836	29996	3.21836	30210.4	3.21836	30210.4
3.22135	30238	3.22135	30210.4	3.22135	30210.4
3.22422	29869	3.22422	30210.4	3.22422	30210.4
3.22697	30006	3.22697	30210.4	3.22697	30210.4
3.2296	30184	3.2296	30210.4	3.2296	30210.4
3.23211	30183	3.23211	30210.4	3.23211	30210.4
3.23449	30036	3.23449	30210.4	3.23449	30210.4
3.23676	30236	3.23676	30210.5	3.23676	30210.5
3.2389	30568	3.2389	30210.5	3.2389	30210.5
3.24092	30462	3.24092	30210.5	3.24092	30210.5
3.24282	30421	3.24282	30210.5	3.24282	30210.5
