TotalSpectrum-x_point	TotalSpectrum-y_point	TotalSpectrum-x_line	TotalSpectrum-y_line	Subspectrum2-x_line	Subspectrum2-y_line
-9.54385	37599	-9.54385	37751.6	-9.54385	37751.6
-9.48927	37921	-9.48927	37744.3	-9.48927	37744.3
-9.43433	37860	-9.43433	37736.1	-9.43433	37736.1
-9.37904	37462	-9.37904	37726.8	-9.37904	37726.8
-9.3234	37577	-9.3234	37716.3	-9.3234	37716.3
-9.2674	37666	-9.2674	37704.2	-9.2674	37704.2
-9.21106	37613	-9.21106	37690.2	-9.21106	37690.2
-9.15436	37724	-9.15436	37673.9	-9.15436	37673.9
-9.09733	37321	-9.09733	37654.8	-9.09733	37654.8
-9.03995	37687	-9.03995	37632.3	-9.03995	37632.3
-8.98223	37507	-8.98223	37605.3	-8.98223	37605.3
-8.92417	37525	-8.92417	37572.7	-8.92417	37572.7
-8.86578	37535	-8.86578	37532.8	-8.86578	37532.8
-8.80705	37628	-8.80705	37483.3	-8.80705	37483.3
-8.748	37374	-8.748	37420.8	-8.748	37420.8
-8.68861	37640	-8.68861	37340.5	-8.68861	37340.5
-8.62889	37251	-8.62889	37235.2	-8.62889	37235.2
-8.56885	36813	-8.56885	37093.6	-8.56885	37093.6
-8.50849	37444	-8.50849	36898.1	-8.50849	36898.1
-8.44781	36722	-8.44781	36619.9	-8.44781	36619.9
-8.38681	36114	-8.38681	36211.1	-8.38681	36211.1
-8.32549	35407	-8.32549	35594	-8.32549	35594
-8.26386	34444	-8.26386	34656.2	-8.26386	34656.2
-8.20192	33378	-8.20192	33316.5	-8.20192	33316.5
-8.13967	32410	-8.13967	31843.1	-8.13967	31843.1
-8.07711	32214	-8.07711	31249.2	-8.07711	31249.2
-8.01425	32579	-8.01425	32176.4	-8.01425	32176.4
-7.95109	33527	-7.95109	33704.6	-7.95109	33704.6
-7.88763	34888	-7.88763	34966.1	-7.88763	34966.1
-7.82387	35737	-7.82387	35821.5	-7.82387	35821.5
-7.75982	36325	-7.75982	36379.1	-7.75982	36379.1
-7.69547	37070	-7.69547	36747.6	-7.69547	36747.6
-7.63084	36828	-7.63084	36998.3	-7.63084	36998.3
-7.56592	37381	-7.56592	37174.3	-7.56592	37174.3
-7.50071	37226	-7.50071	37301.6	-7.50071	37301.6
-7.43522	37476	-7.43522	37396.1	-7.43522	37396.1
-7.36945	37143	-7.36945	37467.8	-7.36945	37467.8
-7.3034	37715	-7.3034	37523.3	-7.3034	37523.3
-7.23708	37627	-7.23708	37567	-7.23708	37567
-7.17049	37516	-7.17049	37601.9	-7.17049	37601.9
-7.10362	37537	-7.10362	37630.1	-7.10362	37630.1
-7.03649	37593	-7.03649	37653.2	-7.03649	37653.2
-6.96909	37587	-6.96909	37672.2	-6.96909	37672.2
-6.90143	37849	-6.90143	37687.9	-6.90143	37687.9
-6.83352	37910	-6.83352	37701	-6.83352	37701
-6.76534	37944	-6.76534	37712	-6.76534	37712
-6.69691	37647	-6.69691	37721.1	-6.69691	37721.1
-6.62822	37521	-6.62822	37728.7	-6.62822	37728.7
-6.55929	37575	-6.55929	37735.1	-6.55929	37735.1
-6.49011	38022	-6.49011	37740.2	-6.49011	37740.2
-6.42069	37801	-6.42069	37744.4	-6.42069	37744.4
-6.35102	37223	-6.35102	37747.7	-6.35102	37747.7
-6.28112	37798	-6.28112	37750.1	-6.28112	37750.1
-6.21098	37899	-6.21098	37751.7	-6.21098	37751.7
-6.1406	37883	-6.1406	37752.5	-6.1406	37752.5
-6.07	37679	-6.07	37752.5	-6.07	37752.5
-5.99916	37475	-5.99916	37751.8	-5.99916	37751.8
-5.9281	38006	-5.9281	37750.2	-5.9281	37750.2
-5.85682	37670	-5.85682	37747.7	-5.85682	37747.7
-5.78531	37467	-5.78531	37744.2	-5.78531	37744.2
-5.71359	37152	-5.71359	37739.5	-5.71359	37739.5
-5.64165	37587	-5.64165	37733.5	-5.64165	37733.5
-5.5695	37972	-5.5695	37725.9	-5.5695	37725.9
-5.49714	37264	-5.49714	37716.4	-5.49714	37716.4
-5.42458	37482	-5.42458	37704.4	-5.42458	37704.4
-5.35181	37737	-5.35181	37689.3	-5.35181	37689.3
-5.27883	37897	-5.27883	37670.2	-5.27883	37670.2
-5.20566	37448	-5.20566	37645.7	-5.20566	37645.7
-5.1323	37809	-5.1323	37614	-5.1323	37614
-5.05874	37452	-5.05874	37572.1	-5.05874	37572.1
-4.98499	37503	-4.98499	37515.5	-4.98499	37515.5
-4.91105	37524	-4.91105	37437.1	-4.91105	37437.1
-4.83693	37176	-4.83693	37324.7	-4.83693	37324.7
-4.76262	36835	-4.76262	37157.5	-4.76262	37157.5
-4.68814	36889	-4.68814	36897.5	-4.68814	36897.5
-4.61348	36405	-4.61348	36475.4	-4.61348	36475.4
-4.53864	35662	-4.53864	35774.8	-4.53864	35774.8
-4.46364	34535	-4.46364	34694.2	-4.46364	34694.2
-4.38846	32525	-4.38846	33598.9	-4.38846	33598.9
-4.31312	32954	-4.31312	33658.3	-4.31312	33658.3
-4.23762	34450	-4.23762	34795.9	-4.23762	34795.9
-4.16196	36198	-4.16196	35855.3	-4.16196	35855.3
-4.08614	36835	-4.08614	36532.1	-4.08614	36532.1
-4.01017	37444	-4.01017	36938.7	-4.01017	36938.7
-3.93405	36886	-3.93405	37189.3	-3.93405	37189.3
-3.85778	37601	-3.85778	37350.8	-3.85778	37350.8
-3.78136	37298	-3.78136	37459.5	-3.78136	37459.5
-3.70481	37480	-3.70481	37535.6	-3.70481	37535.6
-3.62811	37571	-3.62811	37590.6	-3.62811	37590.6
-3.55127	38062	-3.55127	37631.5	-3.55127	37631.5
-3.47431	37489	-3.47431	37662.6	-3.47431	37662.6
-3.39721	37620	-3.39721	37686.7	-3.39721	37686.7
-3.31998	37423	-3.31998	37705.7	-3.31998	37705.7
-3.24263	37311	-3.24263	37720.8	-3.24263	37720.8
-3.16516	37570	-3.16516	37733	-3.16516	37733
-3.08756	37846	-3.08756	37742.9	-3.08756	37742.9
-3.00985	37760	-3.00985	37751	-3.00985	37751
-2.93203	37844	-2.93203	37757.5	-2.93203	37757.5
-2.8541	37844	-2.8541	37762.8	-2.8541	37762.8
-2.77606	37782	-2.77606	37767	-2.77606	37767
-2.69792	38199	-2.69792	37770.2	-2.69792	37770.2
-2.61967	37827	-2.61967	37772.7	-2.61967	37772.7
-2.54133	38123	-2.54133	37774.3	-2.54133	37774.3
-2.46288	38143	-2.46288	37775.2	-2.46288	37775.2
-2.38435	37935	-2.38435	37775.3	-2.38435	37775.3
-2.30573	37924	-2.30573	37774.6	-2.30573	37774.6
-2.22702	37924	-2.22702	37772.9	-2.22702	37772.9
-2.14822	37444	-2.14822	37770	-2.14822	37770
-2.06935	37498	-2.06935	37765.6	-2.06935	37765.6
-1.9904	38017	-1.9904	37759.9	-1.9904	37759.9
-1.91137	37554	-1.91137	37754	-1.91137	37754
-1.83227	37590	-1.83227	37747.8	-1.83227	37747.8
-1.7531	37965	-1.7531	37739.1	-1.7531	37739.1
-1.67387	37495	-1.67387	37726.6	-1.67387	37726.6
-1.59457	37933	-1.59457	37709.4	-1.59457	37709.4
-1.51521	37846	-1.51521	37685.5	-1.51521	37685.5
-1.4358	37433	-1.4358	37652	-1.4358	37652
-1.35633	37449	-1.35633	37603.6	-1.35633	37603.6
-1.27681	37157	-1.27681	37531.2	-1.27681	37531.2
-1.19724	37672	-1.19724	37417.8	-1.19724	37417.8
-1.11763	37142	-1.11763	37231.2	-1.11763	37231.2
-1.03798	36781	-1.03798	36912.7	-1.03798	36912.7
-0.958281	36155	-0.958281	36387.9	-0.958281	36387.9
-0.878551	34893	-0.878551	35767.5	-0.878551	35767.5
-0.798788	34518	-0.798788	35688.4	-0.798788	35688.4
-0.718995	35340	-0.718995	36267.6	-0.718995	36267.6
-0.639175	36577	-0.639175	36832.1	-0.639175	36832.1
-0.559331	36991	-0.559331	37184.2	-0.559331	37184.2
-0.479466	37484	-0.479466	37389.7	-0.479466	37389.7
-0.399582	37736	-0.399582	37513.3	-0.399582	37513.3
-0.319684	37781	-0.319684	37591.3	-0.319684	37591.3
-0.239773	37572	-0.239773	37642.9	-0.239773	37642.9
-0.159854	37833	-0.159854	37678.2	-0.159854	37678.2
-0.079928	37464	-0.079928	37703.1	-0.079928	37703.1
0	37770	0	37721	0	37721
0.079928	37547	0.079928	37734	0.079928	37734
0.159854	37814	0.159854	37743.4	0.159854	37743.4
0.239773	37917	0.239773	37750	0.239773	37750
0.319684	37770	0.319684	37754.4	0.319684	37754.4
0.399582	38113	0.399582	37756.9	0.399582	37756.9
0.479466	37761	0.479466	37757.6	0.479466	37757.6
0.559331	37883	0.559331	37756.7	0.559331	37756.7
0.639175	38123	0.639175	37754.1	0.639175	37754.1
0.718995	37702	0.718995	37749.6	0.718995	37749.6
0.798788	37452	0.798788	37742.9	0.798788	37742.9
0.878551	37893	0.878551	37733.3	0.878551	37733.3
0.958281	37787	0.958281	37720.2	0.958281	37720.2
1.03798	38038	1.03798	37702	1.03798	37702
1.11763	38197	1.11763	37676.8	1.11763	37676.8
1.19724	37685	1.19724	37641.1	1.19724	37641.1
1.27681	37496	1.27681	37589	1.27681	37589
1.35633	37455	1.35633	37510.3	1.35633	37510.3
1.4358	37829	1.4358	37385.8	1.4358	37385.8
1.51521	36968	1.51521	37179.3	1.51521	37179.3
1.59457	37028	1.59457	36826.7	1.59457	36826.7
1.67387	36407	1.67387	36264.1	1.67387	36264.1
1.7531	34712	1.7531	35688.3	1.7531	35688.3
1.83227	34763	1.83227	35761.1	1.83227	35761.1
1.91137	35548	1.91137	36374.9	1.91137	36374.9
1.9904	36931	1.9904	36900.3	1.9904	36900.3
2.06935	37309	2.06935	37221.2	2.06935	37221.2
2.14822	37323	2.14822	37409.5	2.14822	37409.5
2.22702	37360	2.22702	37523.8	2.22702	37523.8
2.30573	37386	2.30573	37596.1	2.30573	37596.1
2.38435	37855	2.38435	37643.7	2.38435	37643.7
2.46288	37716	2.46288	37677.3	2.46288	37677.3
2.54133	38068	2.54133	37703.1	2.54133	37703.1
2.61967	37769	2.61967	37722.8	2.61967	37722.8
2.69792	37347	2.69792	37737.4	2.69792	37737.4
2.77606	37838	2.77606	37748.2	2.77606	37748.2
2.8541	37540	2.8541	37756.4	2.8541	37756.4
2.93203	37913	2.93203	37762.5	2.93203	37762.5
