14,800000	38189
14,799717	37577
14,798868	37745
14,797453	37934
14,795472	37718
14,792925	37916
14,789813	37808
14,786135	37783
14,781891	38127
14,777082	37962
14,771708	37863
14,765769	37757
14,759265	37945
14,752197	37563
14,744564	37766
14,736368	38063
14,727608	37365
14,718285	37784
14,708399	37939
14,697950	37883
14,686940	37700
14,675367	37791
14,663234	37694
14,650539	38239
14,637284	37829
14,623470	37977
14,609096	37695
14,594164	37517
14,578673	37677
14,562625	37672
14,546019	37832
14,528858	37852
14,511141	37677
14,492869	37736
14,474042	37624
14,454662	37725
14,434730	37817
14,414245	37935
14,393209	37832
14,371622	37784
14,349486	37829
14,326801	38207
14,303568	37997
14,279788	37961
14,255462	37689
14,230591	37798
14,205175	37754
14,179217	37686
14,152716	37816
14,125673	37825
14,098091	37661
14,069969	37838
14,041309	37961
14,012112	37876
13,982380	38040
13,952112	37681
13,921311	37829
13,889978	37915
13,858113	37964
13,825718	37684
13,792795	37635
13,759344	38027
13,725367	37709
13,690865	37814
13,655839	37948
13,620291	37490
13,584222	38263
13,547634	37949
13,510527	37819
13,472904	37557
13,434765	38299
13,396113	37649
13,356948	38055
13,317273	37794
13,277088	38125
13,236396	37821
13,195197	37568
13,153494	38157
13,111287	37778
13,068579	37749
13,025371	37871
12,981666	37457
12,937463	37415
12,892766	37908
12,847576	37948
12,801894	37856
12,755723	37638
12,709064	37692
12,661919	37725
12,614290	37877
12,566178	38077
12,517586	37737
12,468515	37568
12,418967	38076
12,368944	38032
12,318448	37932
12,267481	38177
12,216045	37740
12,164141	37655
12,111773	37833
12,058941	37777
12,005648	37883
11,951896	37742
11,897686	37898
11,843022	37962
11,787905	37803
11,732337	37691
11,676320	37822
11,619857	37785
11,562949	37806
11,505599	37994
11,447809	37726
11,389582	37774
11,330918	37643
11,271821	38049
11,212294	37698
11,152337	37830
11,091954	37792
11,031147	37648
10,969917	37717
10,908269	37839
10,846203	38011
10,783722	37932
10,720829	37872
10,657526	37683
10,593815	37703
10,529699	37968
10,465180	37695
10,400261	37500
10,334945	37377
10,269233	37761
10,203128	37187
10,136634	37346
