Zeit	Kanal A	Kanal B
(ms)	(V)	(V)

-2.50009587	-0.03937008	-0.63299700
-2.50003187	-0.07889394	-0.59331940
-2.49996787	-0.03937008	-0.59331940
-2.49990387	-0.03937008	-0.59331940
-2.49983987	-0.07889394	-0.59331940
-2.49977587	-0.07889394	-0.59331940
-2.49971187	-0.03937008	-0.59331940
-2.49964787	-0.07889394	-0.59331940
-2.49958387	-0.07889394	-0.59331940
-2.49951987	-0.07889394	-0.59331940
-2.49945587	-0.03937008	-0.59331940
-2.49939187	-0.07889394	-0.59331940
-2.49932787	-0.03937008	-0.59331940
-2.49926387	-0.07889394	-0.59331940
-2.49919987	-0.03937008	-0.59331940
-2.49913587	-0.03937008	-0.59331940
-2.49907187	-0.03937008	-0.59331940
-2.49900787	-0.03937008	-0.59331940
-2.49894387	-0.03937008	-0.63299700
-2.49887987	-0.03937008	-0.59331940
-2.49881587	-0.03937008	-0.59331940
-2.49875187	-0.03937008	-0.63299700
-2.49868787	-0.03937008	-0.59331940
-2.49862387	-0.07889394	-0.59331940
-2.49855987	-0.03937008	-0.59331940
-2.49849587	-0.03937008	-0.63299700
-2.49843187	-0.03937008	-0.59331940
-2.49836787	-0.07889394	-0.59331940
-2.49830387	-0.03937008	-0.59331940
-2.49823987	-0.07889394	-0.59331940
-2.49817587	0.00000000	-0.59331940
-2.49811187	-0.03937008	-0.59331940
-2.49804787	-0.03937008	-0.59331940
-2.49798387	-0.03937008	-0.59331940
-2.49791987	-0.03937008	-0.59331940
-2.49785587	-0.03937008	-0.59331940
-2.49779187	-0.03937008	-0.55379550
-2.49772787	-0.03937008	-0.63299700
-2.49766387	-0.07889394	-0.59331940
-2.49759987	-0.07889394	-0.59331940
-2.49753587	-0.03937008	-0.59331940
-2.49747187	-0.03937008	-0.59331940
-2.49740787	-0.03937008	-0.59331940
-2.49734387	-0.03937008	-0.59331940
-2.49727987	-0.03937008	-0.59331940
-2.49721587	-0.03937008	-0.59331940
-2.49715187	-0.07889394	-0.59331940
-2.49708787	-0.07889394	-0.55379550
-2.49702387	-0.03937008	-0.55379550
-2.49695987	-0.03937008	-0.59331940
-2.49689587	-0.03937008	-0.59331940
-2.49683187	-0.03937008	-0.59331940
-2.49676787	-0.03937008	-0.59331940
-2.49670387	-0.03937008	-0.59331940
-2.49663987	-0.03937008	-0.59331940
-2.49657587	-0.03937008	-0.59331940
-2.49651187	-0.03937008	-0.59331940
-2.49644787	0.00000000	-0.59331940
-2.49638387	-0.03937008	-0.55379550
-2.49631987	-0.03937008	-0.55379550
-2.49625587	-0.03937008	-0.59331940
-2.49619187	-0.03937008	-0.55379550
-2.49612787	-0.03937008	-0.59331940
-2.49606387	-0.03937008	-0.59331940
-2.49599987	-0.03937008	-0.59331940
-2.49593587	-0.03937008	-0.59331940
-2.49587187	0.00000000	-0.55379550
-2.49580787	-0.03937008	-0.59331940
-2.49574387	-0.03937008	-0.59331940
-2.49567987	-0.03937008	-0.59331940
-2.49561587	-0.03937008	-0.59331940
-2.49555187	-0.03937008	-0.55379550
-2.49548787	-0.03937008	-0.59331940
-2.49542387	-0.03937008	-0.59331940
-2.49535987	-0.07889394	-0.59331940
-2.49529587	-0.03937008	-0.59331940
-2.49523187	-0.03937008	-0.59331940
-2.49516787	-0.03937008	-0.55379550
-2.49510387	0.00000000	-0.59331940
-2.49503987	-0.03937008	-0.59331940
-2.49497587	0.00000000	-0.55379550
-2.49491187	-0.03937008	-0.55379550
-2.49484787	0.00000000	-0.55379550
-2.49478387	-0.03937008	-0.59331940
-2.49471987	0.00000000	-0.59331940
-2.49465587	-0.03937008	-0.59331940
-2.49459187	-0.03937008	-0.55379550
-2.49452787	-0.03937008	-0.55379550
-2.49446387	0.00000000	-0.55379550
-2.49439987	-0.03937008	-0.59331940
-2.49433587	-0.03937008	-0.55379550
-2.49427187	0.00000000	-0.59331940
-2.49420787	0.00000000	-0.55379550
-2.49414387	-0.03937008	-0.55379550
-2.49407987	0.00000000	-0.55379550
-2.49401587	0.00000000	-0.59331940
-2.49395187	-0.03937008	-0.51427170
-2.49388787	-0.03937008	-0.55379550
-2.49382387	-0.03937008	-0.55379550
-2.49375987	-0.03937008	-0.55379550
-2.49369587	-0.03937008	-0.55379550
-2.49363187	-0.03937008	-0.55379550
-2.49356787	-0.03937008	-0.59331940
-2.49350387	-0.03937008	-0.59331940
-2.49343987	0.00000000	-0.59331940
-2.49337587	0.00000000	-0.55379550
-2.49331187	0.00000000	-0.55379550
-2.49324787	-0.03937008	-0.55379550
-2.49318387	-0.03937008	-0.59331940
