Zeit	Kanal A	Kanal B
(ms)	(V)	(V)

-25.00078897	0.00000000	1.34793300
-25.00027697	0.00000000	1.34793300
-24.99976497	0.00000000	1.36380400
-24.99925297	0.00000000	1.34793300
-24.99874097	0.00000000	1.36380400
-24.99822897	0.00000000	1.36380400
-24.99771697	0.00000000	1.34793300
-24.99720497	0.00000000	1.34793300
-24.99669297	0.00000000	1.34793300
-24.99618097	0.00000000	1.36380400
-24.99566897	0.01574803	1.36380400
-24.99515697	0.00000000	1.36380400
-24.99464497	0.00000000	1.34793300
-24.99413297	0.00000000	1.36380400
-24.99362097	0.00000000	1.34793300
-24.99310897	0.00000000	1.34793300
-24.99259697	0.00000000	1.34793300
-24.99208497	0.00000000	1.34793300
-24.99157297	0.00000000	1.34793300
-24.99106097	0.00000000	1.34793300
-24.99054897	0.00000000	1.34793300
-24.99003697	0.00000000	1.34793300
-24.98952497	0.00000000	1.34793300
-24.98901297	0.00000000	1.34793300
-24.98850097	0.00000000	1.36380400
-24.98798897	0.00000000	1.34793300
-24.98747697	0.00000000	1.34793300
-24.98696497	0.00000000	1.34793300
-24.98645297	0.00000000	1.34793300
-24.98594097	0.00000000	1.34793300
-24.98542897	0.00000000	1.34793300
-24.98491697	0.00000000	1.34793300
-24.98440497	0.00000000	1.34793300
-24.98389297	0.00000000	1.34793300
-24.98338097	0.00000000	1.34793300
-24.98286897	0.00000000	1.34793300
-24.98235697	0.00000000	1.34793300
-24.98184497	0.00000000	1.34793300
-24.98133297	0.00000000	1.34793300
-24.98082097	0.00000000	1.34793300
-24.98030897	0.00000000	1.34793300
-24.97979697	0.00000000	1.34793300
-24.97928497	0.00000000	1.34793300
-24.97877297	0.00000000	1.34793300
-24.97826097	0.00000000	1.34793300
-24.97774897	0.00000000	1.34793300
-24.97723697	0.00000000	1.34793300
-24.97672497	0.00000000	1.34793300
-24.97621297	0.00000000	1.34793300
-24.97570097	0.00000000	1.34793300
-24.97518897	0.00000000	1.34793300
-24.97467697	0.00000000	1.34793300
-24.97416497	0.00000000	1.34793300
-24.97365297	0.00000000	1.34793300
-24.97314097	0.00000000	1.34793300
-24.97262897	0.00000000	1.34793300
-24.97211697	0.00000000	1.34793300
-24.97160497	0.00000000	1.34793300
-24.97109297	0.00000000	1.34793300
-24.97058097	0.00000000	1.34793300
-24.97006897	0.00000000	1.34793300
-24.96955697	0.00000000	1.34793300
-24.96904497	0.00000000	1.34793300
-24.96853297	0.00000000	1.34793300
-24.96802097	0.00000000	1.34793300
-24.96750897	0.00000000	1.34793300
-24.96699697	0.00000000	1.33206200
-24.96648497	0.00000000	1.33206200
-24.96597297	0.00000000	1.34793300
-24.96546097	-0.01574803	1.31625200
-24.96494897	0.00000000	1.34793300
-24.96443697	0.00000000	1.33206200
-24.96392497	0.00000000	1.34793300
-24.96341297	0.00000000	1.34793300
-24.96290097	0.00000000	1.34793300
-24.96238897	0.00000000	1.34793300
-24.96187697	0.00000000	1.33206200
-24.96136497	0.00000000	1.34793300
-24.96085297	0.00000000	1.34793300
-24.96034097	-0.01574803	1.34793300
-24.95982897	0.00000000	1.34793300
-24.95931697	0.00000000	1.33206200
-24.95880497	0.00000000	1.34793300
-24.95829297	-0.01574803	1.34793300
-24.95778097	-0.01574803	1.33206200
-24.95726897	-0.01574803	1.33206200
-24.95675697	-0.01574803	1.33206200
-24.95624497	0.00000000	1.33206200
-24.95573297	0.00000000	1.33206200
-24.95522097	-0.01574803	1.34793300
-24.95470897	-0.01574803	1.34793300
-24.95419697	0.00000000	1.33206200
-24.95368497	-0.01574803	1.33206200
-24.95317297	0.00000000	1.34793300
-24.95266097	-0.01574803	1.33206200
-24.95214897	-0.01574803	1.33206200
-24.95163697	-0.01574803	1.33206200
-24.95112497	0.00000000	1.33206200
-24.95061297	-0.01574803	1.33206200
-24.95010097	-0.01574803	1.33206200
-24.94958897	-0.01574803	1.33206200
-24.94907697	0.00000000	1.33206200
-24.94856497	0.00000000	1.33206200
-24.94805297	-0.01574803	1.33206200
-24.94754097	-0.01574803	1.34793300
-24.94702897	-0.01574803	1.33206200
-24.94651697	0.00000000	1.34793300
-24.94600497	-0.01574803	1.34793300
-24.94549297	-0.01574803	1.33206200
-24.94498097	-0.01574803	1.33206200
-24.94446897	-0.01574803	1.33206200
-24.94395697	-0.01574803	1.33206200
-24.94344497	-0.01574803	1.33206200
-24.94293297	-0.01574803	1.33206200
-24.94242097	-0.01574803	1.33206200
-24.94190897	-0.01574803	1.33206200
-24.94139697	-0.01574803	1.33206200
-24.94088497	-0.01574803	1.33206200
