Zeit	Kanal A	Kanal B
(ms)	(V)	(V)

-25.00095963	0.07889394	1.42424300
-25.00044763	0.07889394	1.42424300
-24.99993563	0.07889394	1.38471900
-24.99942363	0.11841780	1.38471900
-24.99891163	0.07889394	1.42424300
-24.99839963	0.11841780	1.42424300
-24.99788763	0.07889394	1.38471900
-24.99737563	0.07889394	1.38471900
-24.99686363	0.11841780	1.38471900
-24.99635163	0.07889394	1.38471900
-24.99583963	0.07889394	1.34519600
-24.99532763	0.07889394	1.34519600
-24.99481563	0.07889394	1.38471900
-24.99430363	0.07889394	1.38471900
-24.99379163	0.07889394	1.34519600
-24.99327963	0.07889394	1.42424300
-24.99276764	0.07889394	1.38471900
-24.99225564	0.03937008	1.42424300
-24.99174364	0.07889394	1.38471900
-24.99123164	0.07889394	1.42424300
-24.99071964	0.07889394	1.38471900
-24.99020764	0.07889394	1.38471900
-24.98969564	0.11841780	1.38471900
-24.98918364	0.11841780	1.38471900
-24.98867164	0.07889394	1.38471900
-24.98815964	0.07889394	1.42424300
-24.98764764	0.07889394	1.38471900
-24.98713564	0.07889394	1.34519600
-24.98662364	0.07889394	1.38471900
-24.98611164	0.07889394	1.34519600
-24.98559964	0.07889394	1.38471900
-24.98508764	0.07889394	1.42424300
-24.98457564	0.07889394	1.38471900
-24.98406364	0.07889394	1.38471900
-24.98355164	0.07889394	1.38471900
-24.98303964	0.07889394	1.38471900
-24.98252764	0.03937008	1.38471900
-24.98201564	0.07889394	1.38471900
-24.98150364	0.07889394	1.42424300
-24.98099164	0.03937008	1.42424300
-24.98047964	0.07889394	1.34519600
-24.97996764	0.07889394	1.38471900
-24.97945564	0.07889394	1.34519600
-24.97894364	0.07889394	1.38471900
-24.97843164	0.03937008	1.42424300
-24.97791964	0.07889394	1.42424300
-24.97740764	0.07889394	1.38471900
-24.97689564	0.07889394	1.38471900
-24.97638364	0.03937008	1.38471900
-24.97587164	0.07889394	1.38471900
-24.97535964	0.11841780	1.38471900
-24.97484764	0.03937008	1.38471900
-24.97433564	0.07889394	1.38471900
-24.97382364	0.07889394	1.38471900
-24.97331164	0.07889394	1.42424300
-24.97279964	0.07889394	1.38471900
-24.97228764	0.07889394	1.42424300
-24.97177564	0.07889394	1.38471900
-24.97126364	0.03937008	1.42424300
-24.97075164	0.07889394	1.38471900
-24.97023964	0.07889394	1.38471900
-24.96972764	0.03937008	1.38471900
-24.96921564	0.07889394	1.34519600
-24.96870364	0.07889394	1.38471900
-24.96819164	0.07889394	1.38471900
-24.96767964	0.03937008	1.38471900
-24.96716764	0.07889394	1.38471900
-24.96665564	0.07889394	1.38471900
-24.96614364	0.07889394	1.38471900
-24.96563164	0.07889394	1.42424300
-24.96511964	0.07889394	1.34519600
-24.96460764	0.07889394	1.38471900
-24.96409564	0.03937008	1.38471900
-24.96358364	0.07889394	1.42424300
-24.96307164	0.07889394	1.38471900
-24.96255964	0.07889394	1.38471900
-24.96204764	0.07889394	1.38471900
-24.96153564	0.03937008	1.38471900
-24.96102364	0.07889394	1.38471900
-24.96051164	0.03937008	1.38471900
-24.95999964	0.07889394	1.38471900
-24.95948764	0.03937008	1.38471900
-24.95897564	0.07889394	1.38471900
-24.95846364	0.07889394	1.38471900
-24.95795164	0.07889394	1.38471900
-24.95743964	0.07889394	1.42424300
-24.95692764	0.03937008	1.38471900
-24.95641564	0.03937008	1.38471900
-24.95590364	0.03937008	1.38471900
-24.95539164	0.07889394	1.34519600
-24.95487964	0.07889394	1.38471900
-24.95436764	0.07889394	1.38471900
-24.95385564	0.07889394	1.38471900
-24.95334364	0.07889394	1.38471900
-24.95283164	0.07889394	1.38471900
-24.95231964	0.03937008	1.38471900
-24.95180764	0.03937008	1.38471900
-24.95129564	0.03937008	1.38471900
-24.95078364	0.07889394	1.38471900
-24.95027164	0.07889394	1.38471900
-24.94975964	0.03937008	1.38471900
-24.94924764	0.07889394	1.38471900
-24.94873564	0.07889394	1.38471900
-24.94822364	0.03937008	1.42424300
-24.94771164	0.03937008	1.38471900
-24.94719964	0.07889394	1.42424300
-24.94668764	0.03937008	1.38471900
-24.94617564	0.07889394	1.38471900
-24.94566364	0.07889394	1.42424300
-24.94515164	0.03937008	1.38471900
-24.94463964	0.07889394	1.42424300
-24.94412764	0.03937008	1.34519600
-24.94361564	0.07889394	1.38471900
-24.94310364	0.07889394	1.42424300
-24.94259164	0.03937008	1.38471900
-24.94207964	0.03937008	1.38471900
-24.94156764	0.07889394	1.38471900
-24.94105564	0.07889394	1.38471900
-24.94054364	0.03937008	1.38471900
