Messpunkt Versuch 29: Molw�rme von Silicium
Beginn der Aufnahme: Do, 4. Jul 2024, 15:15:55
Temperaturverh�ltnisse zu Messbeginn
Schildtemperatur / �C = -108,128
Schilddrift / K/min   =   0,415
Probentemperatur / �C = -103,554
Probendrift / K/min   =   0,144
t / s	T_Probe / C
0,0000	-103,38
0,37200	-103,38
0,75500	-103,75
1,1150	-103,46
1,4990	-103,46
1,8700	-103,55
2,2310	-103,55
2,6270	-103,68
2,9990	-103,43
3,3820	-103,43
3,7430	-103,75
4,1260	-103,28
4,4980	-103,28
4,8830	-103,68
5,2910	-103,70
5,6630	-103,70
6,0340	-103,31
6,3940	-103,31
6,7560	-103,65
7,1380	-103,43
7,5220	-103,43
7,8820	-103,68
8,2780	-103,50
8,6380	-103,50
9,0110	-103,31
9,3750	-103,31
9,7360	-103,68
10,104	-103,41
10,476	-103,41
10,848	-103,41
11,220	-103,41
11,590	-103,78
11,964	-103,38
12,336	-103,38
12,707	-103,70
13,090	-103,55
13,462	-103,55
13,835	-103,28
14,338	-103,75
14,710	-103,75
15,080	-103,58
15,440	-103,58
15,800	-103,58
16,162	-103,28
16,522	-103,28
16,882	-103,75
17,253	-103,50
17,614	-103,50
17,974	-103,26
18,358	-103,26
18,729	-103,80
19,088	-103,33
19,449	-103,33
19,809	-103,28
20,169	-103,28
20,529	-103,68
20,900	-103,33
21,260	-103,33
21,620	-103,33
21,980	-103,33
22,341	-103,60
22,702	-103,26
23,073	-103,26
23,432	-103,33
23,816	-103,33
24,178	-103,63
24,562	-103,36
24,933	-103,36
25,294	-103,70
25,665	-103,53
26,025	-103,53
26,384	-103,33
26,744	-103,33
27,105	-103,70
27,489	-103,43
27,861	-103,43
28,233	-103,26
28,605	-103,26
28,988	-103,60
29,362	-103,41
29,734	-103,41
30,105	-103,73
30,489	-103,48
30,861	-103,48
31,226	-103,28
31,594	-103,28
31,965	-103,73
32,338	-103,38
32,709	-103,38
33,082	-103,63
33,476	-103,55
33,836	-103,55
34,196	-103,31
34,556	-103,31
34,917	-103,70
35,287	-103,33
35,647	-103,33
36,009	-103,23
36,369	-103,23
36,730	-103,65
37,100	-103,36
37,472	-103,36
37,832	-103,31
38,192	-103,31
38,553	-103,63
38,926	-103,41
39,298	-103,41
39,670	-103,65
40,065	-103,60
40,437	-103,60
40,809	-103,28
41,193	-103,28
41,564	-103,75
41,949	-103,38
42,346	-103,38
42,718	-103,65
43,089	-103,43
43,453	-103,43
43,820	-103,36
44,185	-103,36
44,553	-103,73
44,924	-103,31
45,284	-103,31
45,645	-103,65
46,017	-103,65
46,388	-103,70
46,759	-103,36
47,119	-103,36
47,480	-103,75
47,852	-103,50
48,224	-103,50
48,595	-103,28
48,956	-103,28
49,316	-103,70
49,687	-103,36
50,047	-103,36
50,408	-103,31
50,780	-103,31
51,153	-103,75
51,523	-103,28
51,883	-103,28
52,245	-103,65
52,617	-103,65
52,988	-103,70
53,360	-103,38
53,744	-103,38
54,116	-103,73
54,488	-103,43
54,871	-103,43
55,243	-103,23
55,615	-103,23
55,988	-103,63
56,360	-103,38
56,732	-103,38
57,103	-103,75
57,463	-103,50
57,824	-103,50
58,196	-103,36
58,699	-103,75
59,059	-103,75
59,430	-103,31
59,790	-103,31
60,152	-103,63
60,523	-103,43
60,895	-103,43
61,291	-103,68
61,665	-103,65
62,048	-103,65
62,420	-103,41
62,816	-103,41
63,187	-103,68
63,559	-103,36
63,919	-103,36
64,279	-103,73
64,674	-103,48
65,020	-103,48
65,406	-103,28
65,766	-103,28
66,127	-103,73
66,499	-103,38
66,872	-103,38
67,253	-103,33
67,613	-103,33
67,975	-103,68
68,347	-103,46
68,719	-103,46
69,091	-103,73
69,462	-103,48
69,834	-103,48
70,194	-103,36
70,554	-103,36
70,914	-103,73
71,288	-103,38
71,659	-103,38
72,031	-103,38
72,403	-103,38
72,776	-103,65
73,158	-103,43
73,530	-103,43
73,891	-103,75
74,254	-103,58
74,623	-103,58
74,988	-103,41
75,486	-103,73
75,846	-103,73
76,206	-103,23
76,578	-103,23
76,939	-103,70
77,309	-103,28
77,670	-103,28
78,031	-103,43
78,395	-103,43
78,763	-103,73
79,146	-103,50
79,530	-103,50
79,890	-103,73
80,273	-103,53
80,645	-103,53
81,005	-103,31
81,365	-103,31
81,726	-103,68
82,097	-103,33
82,457	-103,33
82,817	-103,36
83,177	-103,36
83,537	-103,60
83,898	-103,23
84,269	-103,23
84,628	-103,33
85,013	-103,33
85,373	-103,60
85,726	-103,36
86,094	-103,36
86,477	-103,73
86,873	-103,60
87,233	-103,60
87,593	-103,23
87,965	-103,23
88,339	-103,65
88,709	-103,26
89,081	-103,26
89,441	-103,43
89,896	-103,60
