Messpunkt Versuch 29: Molw�rme von Silicium
Beginn der Aufnahme: Do, 4. Jul 2024, 16:10:05
Temperaturverh�ltnisse zu Messbeginn
Schildtemperatur / �C =  -2,661
Schilddrift / K/min   =  -0,437
Probentemperatur / �C =   2,688
Probendrift / K/min   =  -0,771
t / s	T_Probe / C
129,47	2,6879
129,91	3,2257
130,29	3,2257
130,66	3,4562
131,03	3,4562
131,40	3,2513
131,77	3,9173
132,15	3,9173
132,52	3,2257
132,89	3,8661
133,26	3,8661
133,63	3,8405
134,00	3,8405
134,38	3,4562
134,75	3,8917
135,12	3,8917
135,49	3,3281
136,13	3,8148
136,49	3,4818
136,85	3,4818
137,21	4,0710
137,69	3,4050
138,05	3,4050
138,41	4,2247
138,76	4,2247
139,12	3,6355
139,61	4,1223
140,00	4,1223
140,38	3,6867
140,75	4,2247
141,12	4,2247
141,73	3,5331
142,10	4,0454
142,45	4,0966
142,82	4,0966
143,20	4,5066
143,57	4,5066
143,94	3,6867
144,30	4,3272
144,67	4,3272
145,03	4,1479
145,39	4,1479
145,75	3,7892
146,12	4,4041
146,47	4,4041
146,96	3,8661
147,34	3,8661
147,71	3,8661
148,08	3,7636
148,47	4,2247
148,84	4,2247
149,20	4,7116
149,56	4,7116
149,93	4,0454
150,30	4,4553
150,66	4,4553
151,01	4,3785
151,37	4,3785
151,74	3,9942
152,09	4,7116
152,58	4,7116
152,94	4,7116
153,30	4,7116
153,66	4,7116
154,01	4,4297
154,50	4,0966
154,86	4,0966
155,22	4,6347
155,58	4,6347
155,94	4,1479
156,31	4,7372
156,89	4,6347
157,26	4,6347
157,62	4,9934
157,97	4,9934
158,34	4,1991
158,71	4,8909
159,19	4,8909
159,56	4,6603
159,94	5,0447
160,30	5,0447
160,65	4,2760
161,03	4,2760
161,38	4,5066
161,88	5,0703
162,26	4,4553
162,64	4,4553
163,01	5,2241
163,40	5,2241
163,78	4,4553
164,15	5,1985
164,52	5,1985
164,89	4,4553
165,27	4,9166
165,64	4,9166
166,00	5,2753
166,37	5,2753
166,74	4,5578
167,11	5,1985
167,48	5,1985
167,86	4,7116
168,23	4,7116
168,60	4,5834
168,97	5,2497
169,34	5,2497
169,72	4,5834
170,07	5,1472
170,44	5,1472
170,82	5,2753
171,19	5,2753
171,56	4,7372
171,94	5,3010
172,31	5,3010
172,68	4,5834
173,07	4,9934
173,43	4,9934
173,78	5,4548
174,16	5,4548
