Messpunkt Versuch 29: Molw�rme von Silicium
Beginn der Aufnahme: Do, 4. Jul 2024, 15:54:11
Temperaturverh�ltnisse zu Messbeginn
Schildtemperatur / �C = -26,734
Schilddrift / K/min   =  -0,407
Probentemperatur / �C = -21,299
Probendrift / K/min   =  -0,303
t / s	T_Probe / C
0,0000	-20,714
0,38400	-20,714
0,75300	-21,172
1,1270	-20,816
1,4990	-20,816
1,8720	-20,587
2,2560	-20,587
2,6260	-21,324
2,9920	-20,714
3,3600	-20,714
3,7320	-21,222
4,1970	-21,146
4,5690	-21,146
4,9410	-21,070
5,3140	-21,070
5,6860	-21,070
6,0590	-20,688
6,4290	-20,688
6,8010	-21,273
7,1750	-20,638
7,5470	-20,638
7,9180	-20,892
8,2810	-20,892
8,6570	-21,273
9,0290	-20,765
9,5250	-21,248
9,8980	-21,248
10,271	-20,561
10,642	-20,561
11,012	-21,273
11,386	-20,638
11,758	-20,638
12,130	-21,248
12,585	-21,197
12,957	-21,197
13,329	-21,121
13,785	-21,197
14,157	-21,197
14,528	-21,121
14,985	-21,197
15,357	-21,197
15,730	-21,121
16,118	-21,019
16,485	-21,172
16,851	-20,638
17,348	-21,299
17,732	-21,299
18,108	-20,485
18,560	-21,172
18,920	-21,172
19,281	-20,612
19,678	-20,612
20,048	-21,197
20,421	-20,765
20,792	-20,765
21,163	-21,375
21,526	-20,994
21,898	-20,994
22,269	-20,688
22,642	-20,688
23,012	-21,273
23,385	-20,663
23,756	-20,663
24,127	-21,273
24,487	-21,273
24,849	-21,222
25,232	-20,816
25,616	-20,816
25,986	-21,426
26,348	-20,765
26,732	-20,765
27,117	-20,714
27,571	-21,324
27,931	-21,324
28,292	-20,816
28,760	-21,222
29,132	-21,222
29,517	-20,638
29,972	-21,248
30,356	-21,248
30,740	-20,943
31,135	-21,273
31,495	-21,273
31,881	-20,739
32,290	-20,739
32,660	-21,248
33,033	-20,714
33,405	-20,714
33,774	-21,451
34,137	-20,968
34,509	-20,968
34,880	-20,816
35,276	-20,816
35,647	-21,299
36,031	-20,816
36,416	-20,816
36,788	-21,477
37,160	-20,841
37,532	-20,841
37,904	-20,816
38,358	-21,299
38,719	-21,299
39,092	-20,688
