Messpunkt Versuch 29: Molw�rme von Silicium
Beginn der Aufnahme: Do, 4. Jul 2024, 15:34:54
Temperaturverh�ltnisse zu Messbeginn
Schildtemperatur / �C = -63,454
Schilddrift / K/min   =  -0,031
Probentemperatur / �C = -56,204
Probendrift / K/min   =  -0,191
t / s	T_Probe / C
125,74	-54,797
126,08	-54,269
126,45	-54,269
126,82	-54,696
127,19	-54,294
127,55	-54,294
127,92	-54,470
128,44	-54,747
128,80	-54,747
129,16	-54,621
129,53	-54,370
129,90	-54,370
130,27	-54,194
130,64	-54,194
131,01	-54,671
131,52	-54,319
131,90	-54,319
132,27	-54,621
132,64	-54,194
133,01	-54,194
133,38	-54,646
133,75	-54,319
134,11	-54,319
134,49	-54,118
134,86	-54,118
135,23	-54,571
135,60	-54,043
135,97	-54,043
136,34	-54,470
136,80	-54,395
137,17	-54,395
137,54	-54,344
138,04	-54,370
138,41	-54,370
138,78	-54,294
139,14	-54,143
139,51	-54,143
139,89	-53,967
140,29	-53,967
140,66	-54,344
141,04	-53,917
141,41	-53,917
141,78	-54,395
142,15	-54,068
142,53	-54,068
142,90	-53,867
143,29	-53,867
143,66	-54,294
144,02	-53,791
144,41	-53,791
144,78	-54,344
145,18	-54,043
145,55	-54,043
145,92	-53,741
146,38	-54,143
146,75	-54,143
147,12	-53,640
147,56	-54,118
147,94	-54,118
148,31	-53,666
148,68	-53,666
149,05	-54,068
149,42	-53,766
149,80	-53,766
150,17	-54,143
150,54	-53,816
150,91	-53,816
151,28	-53,640
151,66	-53,640
152,03	-54,118
152,40	-53,565
152,77	-53,565
153,14	-54,068
153,60	-54,018
153,97	-54,018
154,34	-53,917
154,74	-53,942
155,11	-53,967
155,48	-53,565
155,86	-53,565
156,23	-54,018
156,60	-53,464
156,97	-53,464
157,36	-53,967
157,76	-53,892
158,14	-53,892
158,52	-53,464
158,92	-53,967
159,29	-53,842
159,66	-53,439
160,03	-53,439
160,41	-53,992
160,79	-53,439
161,17	-53,439
161,56	-53,640
161,96	-53,791
162,34	-53,791
162,71	-53,339
163,08	-53,339
163,46	-53,766
163,84	-53,414
164,21	-53,414
164,58	-53,917
164,95	-53,590
165,32	-53,590
165,70	-53,339
166,07	-53,339
166,44	-53,766
166,81	-53,414
167,19	-53,414
167,55	-53,791
167,98	-53,640
168,35	-53,640
168,72	-53,263
169,10	-53,263
169,46	-53,716
169,83	-53,314
170,19	-53,314
170,56	-53,867
170,96	-53,490
171,34	-53,490
171,70	-53,238
172,06	-53,238
172,42	-53,615
172,78	-53,213
173,14	-53,213
173,50	-53,439
173,85	-53,439
174,23	-53,439
174,61	-53,439
174,97	-53,288
175,59	-53,012
175,96	-54,093
176,35	-53,314
176,71	-53,314
177,07	-53,112
177,44	-53,112
177,81	-53,691
178,18	-53,137
178,54	-53,137
178,90	-53,314
179,40	-53,691
179,77	-53,691
180,14	-53,464
180,59	-53,540
180,96	-53,540
181,33	-53,263
181,71	-53,263
182,08	-53,615
182,44	-53,137
182,80	-53,137
183,17	-53,716
183,54	-53,364
183,91	-53,364
184,29	-53,037
184,65	-53,037
185,01	-53,565
185,38	-53,037
185,75	-53,037
186,12	-53,314
186,50	-53,314
186,85	-53,540
187,22	-53,062
187,58	-53,062
187,94	-53,565
188,40	-53,389
188,77	-53,389
189,14	-53,414
189,54	-53,439
189,91	-53,464
190,28	-52,961
190,64	-52,961
191,00	-53,515
191,37	-53,062
191,73	-53,062
192,10	-53,012
192,48	-53,012
192,85	-53,565
193,21	-53,137
193,58	-53,137
193,94	-53,339
194,41	-53,314
194,77	-53,314
195,13	-53,364
195,50	-53,364
195,87	-53,439
196,24	-52,987
196,60	-52,987
196,96	-53,389
197,35	-53,213
197,71	-53,213
198,07	-52,911
198,44	-52,911
198,82	-53,540
199,19	-53,012
199,56	-53,012
199,92	-53,389
200,31	-53,389
200,69	-53,439
201,06	-52,861
201,43	-52,861
201,80	-53,389
202,17	-53,012
202,53	-53,012
202,89	-52,961
203,26	-52,961
203,64	-53,464
204,01	-53,012
204,38	-53,012
204,74	-53,389
205,21	-53,263
205,57	-53,263
205,93	-53,314
206,31	-53,314
206,67	-53,339
207,04	-52,911
207,41	-52,911
207,78	-53,490
208,15	-53,087
208,51	-53,087
208,87	-52,886
209,22	-52,886
209,58	-53,414
209,95	-52,961
210,32	-52,961
210,68	-52,861
211,05	-52,861
211,43	-53,439
211,80	-52,836
212,17	-52,836
212,54	-53,314
212,90	-53,314
213,26	-53,288
213,62	-52,886
214,00	-52,886
214,37	-53,263
214,74	-53,112
215,11	-53,112
215,48	-52,836
215,99	-53,414
216,36	-53,414
216,73	-52,961
217,10	-52,961
