Messpunkt Versuch 29: Molw�rme von Silicium
Beginn der Aufnahme: Do, 4. Jul 2024, 16:55:39
Temperaturverh�ltnisse zu Messbeginn
Schildtemperatur / �C =  55,914
Schilddrift / K/min   =  -0,779
Probentemperatur / �C =  62,087
Probendrift / K/min   =  -0,792
t / s	T_Probe / C
139,32	63,808
139,68	64,356
140,04	64,356
140,40	63,573
140,75	63,573
141,13	63,756
141,50	64,382
141,86	64,382
142,35	63,651
142,71	64,173
143,07	64,173
143,43	63,625
143,81	64,173
144,17	64,173
144,53	64,564
144,91	64,564
145,28	63,730
145,64	64,486
146,01	64,486
146,38	64,564
146,78	64,564
147,17	63,782
147,53	64,695
147,90	64,695
148,28	63,886
148,64	64,564
149,01	64,564
149,38	64,643
149,75	64,643
150,12	64,095
150,48	64,825
150,84	64,825
151,20	63,886
151,56	63,886
151,92	64,199
152,28	64,825
152,64	64,825
153,00	64,173
153,36	64,173
153,72	64,173
154,21	64,173
154,66	64,173
155,04	64,173
155,40	64,173
155,87	64,173
156,23	64,173
156,72	64,173
157,08	64,173
157,44	64,173
157,81	64,982
158,18	64,982
158,55	63,651
158,92	64,851
159,29	64,851
159,68	64,017
160,04	64,695
160,41	64,695
160,77	65,217
161,13	65,217
161,51	64,303
161,87	65,112
162,23	65,112
162,59	64,904
162,97	64,904
163,33	64,382
163,69	64,982
164,05	64,982
164,41	65,112
164,77	65,112
165,13	64,303
165,49	65,112
165,85	65,112
166,21	64,773
166,56	64,773
166,93	64,356
167,29	64,904
167,65	64,904
168,01	64,825
168,37	64,825
168,73	64,382
169,09	65,112
169,45	65,112
169,81	64,851
170,17	64,851
170,53	64,434
170,89	65,295
171,25	65,295
171,61	64,382
171,99	64,773
172,63	64,773
172,99	64,773
173,35	65,556
173,69	65,556
174,07	64,434
174,45	65,191
174,81	65,191
175,15	65,191
175,56	65,191
176,24	65,191
176,60	65,191
177,24	65,191
177,60	65,191
177,96	65,191
178,31	65,191
178,94	65,191
179,31	65,191
179,67	64,043
180,30	64,043
180,67	64,043
181,30	64,043
181,66	64,043
182,03	64,043
182,39	64,043
182,77	64,043
183,13	64,043
183,49	65,660
184,06	65,034
184,42	65,034
184,78	65,086
185,30	64,695
185,68	64,695
186,05	65,008
186,41	65,373
186,77	65,373
187,13	65,608
187,49	65,608
187,85	64,695
188,20	65,556
188,56	65,556
188,93	65,686
189,29	65,686
189,65	64,643
190,02	65,451
190,55	65,451
190,91	65,739
191,27	65,608
191,63	65,608
191,99	64,799
192,44	64,904
192,80	64,904
193,16	65,373
193,66	64,982
194,02	64,982
194,38	65,112
194,74	65,112
195,10	64,825
195,46	65,556
195,81	65,556
196,17	64,982
196,54	64,982
196,90	64,799
197,52	65,478
197,88	64,877
198,25	64,877
198,87	64,773
199,24	65,295
199,61	65,608
199,97	65,608
200,60	65,660
200,97	64,747
201,34	64,747
201,69	65,034
202,06	65,608
202,57	65,608
203,10	64,930
203,47	65,843
203,96	65,712
204,32	65,712
204,68	64,956
205,04	65,530
205,40	65,530
205,76	65,399
206,12	65,399
206,48	65,086
206,84	65,530
207,20	65,530
207,56	65,530
207,93	65,530
208,28	64,904
208,64	65,530
209,00	65,530
209,36	65,634
209,85	64,904
210,21	64,904
210,59	65,217
211,04	65,034
211,40	65,034
211,76	65,582
212,15	65,582
212,51	65,138
212,87	65,660
213,24	65,660
213,60	65,112
214,09	65,191
214,43	65,191
214,78	65,138
215,16	65,138
215,53	65,164
215,90	65,791
216,26	65,791
216,62	64,930
217,02	65,478
217,38	65,478
217,72	66,000
218,10	66,000
218,46	65,086
218,82	65,765
219,18	65,765
219,54	65,921
219,91	65,921
220,27	65,086
220,63	65,817
220,99	65,817
221,35	65,817
221,71	65,817
222,07	65,243
222,43	65,712
222,79	65,712
223,15	65,869
223,51	65,869
223,87	65,217
224,23	65,817
224,59	65,817
224,95	65,843
225,31	65,843
225,68	65,191
226,04	65,947
226,40	65,947
226,75	65,451
227,15	65,451
227,50	65,217
227,87	65,791
228,23	65,791
228,59	65,034
228,97	65,034
229,33	65,191
229,70	65,895
230,06	65,895
230,42	65,008
230,81	65,530
231,17	65,530
231,53	65,921
231,88	65,921
232,25	65,086
232,61	65,817
232,97	65,817
233,32	65,921
233,68	65,921
234,06	65,086
234,42	65,791
234,78	65,791
235,14	65,973
235,50	65,973
235,86	65,138
236,23	65,739
236,59	65,739
236,95	65,895
237,31	65,895
237,67	65,269
238,03	65,843
238,40	65,843
238,75	65,869
239,11	65,869
239,47	65,269
239,83	65,895
240,19	65,895
240,55	65,895
240,91	65,895
241,27	65,295
241,63	65,869
241,99	65,869
242,35	65,843
242,72	65,843
243,08	65,243
243,44	65,791
243,80	65,791
244,16	65,556
244,54	65,556
244,90	65,269
245,27	65,843
245,63	65,843
245,99	65,086
246,37	65,086
246,73	65,217
247,09	65,947
247,45	65,947
247,81	64,956
248,25	65,556
248,61	65,556
248,97	65,243
249,32	65,243
249,71	65,112
250,06	65,765
250,43	65,765
250,78	65,112
251,17	65,112
251,53	65,217
251,89	65,947
252,26	65,947
252,62	64,930
253,00	65,556
253,37	65,556
253,72	66,000
254,09	66,000
254,44	65,086
254,81	65,869
255,16	65,869
255,53	65,869
255,88	65,869
256,25	65,086
256,61	65,843
256,97	65,843
257,33	65,843
257,69	65,843
258,03	65,086
258,39	65,869
258,76	65,869
259,12	66,000
259,49	66,000
259,84	65,191
260,20	65,843
260,56	65,843
260,93	66,052
261,29	66,052
261,64	64,982
262,00	65,817
262,37	65,817
262,74	65,869
263,10	65,869
263,59	64,982
263,95	65,869
264,44	65,321
264,80	65,321
265,16	65,869
265,52	65,869
265,88	65,034
266,24	65,686
266,60	65,686
266,96	65,504
267,32	65,504
267,67	65,008
268,04	65,765
268,40	65,765
268,76	65,634
269,12	65,634
269,48	65,008
269,84	65,817
270,20	65,817
270,55	65,634
270,91	65,634
271,27	65,008
271,63	66,000
272,00	66,000
272,36	65,686
272,73	65,686
273,08	65,034
273,45	65,791
273,81	65,791
274,17	65,164
274,53	65,164
274,89	65,086
275,25	65,739
275,61	65,739
275,97	65,164
276,46	65,034
276,82	65,034
277,18	65,269
277,54	65,269
277,90	65,164
278,28	65,843
278,64	65,843
278,99	64,982
279,35	64,982
279,72	65,321
280,07	65,817
280,44	65,817
280,79	64,956
281,15	64,956
281,51	65,295
281,88	65,843
282,24	65,843
282,59	64,982
282,95	64,982
283,31	65,295
283,68	65,869
284,04	65,869
284,41	64,982
284,79	65,269
285,15	65,321
285,51	65,817
285,87	65,817
286,23	64,982
286,59	65,608
286,95	65,608
